period,population,cases,customer_users,domestic_use,customer_use,first_d,first_e,first_both,neither,d_to_e,e_to_d,both_use,resolved,unresolved,customer_route_success,customer_only_resolution,joint_resolution,customer_user_any_resolution,customer_unresolved,material_at_review,standardized_no_material_score,mechanical_material_increment,mean_customer_merit,mean_customer_dependence,seed,scenario,axis,level,mode
late,all,43,22,0.813953488372093,0.5116279069767442,0.627906976744186,0.3488372093023256,0.0,0.023255813953488372,0.16279069767441862,0.18604651162790697,0.3488372093023256,0.4186046511627907,0.5813953488372093,0.22727272727272727,0.22727272727272727,0.0,0.36363636363636365,0.6363636363636364,0.0,0.2430806901475173,0.0,0.6040486345368703,0.4892834884289448,0,implementation_4_objective,implementation,4,objective
late,both_reachable,36,22,0.8055555555555556,0.6111111111111112,0.5833333333333334,0.4166666666666667,0.0,0.0,0.19444444444444445,0.2222222222222222,0.4166666666666667,0.4444444444444444,0.5555555555555556,0.22727272727272727,0.22727272727272727,0.0,0.36363636363636365,0.6363636363636364,0.0,0.2430806901475173,0.0,0.6040486345368703,0.4892834884289448,0,implementation_4_objective,implementation,4,objective
early,all,41,25,0.8536585365853658,0.6097560975609756,0.5853658536585366,0.4146341463414634,0.0,0.0,0.1951219512195122,0.2682926829268293,0.4634146341463415,0.4146341463414634,0.5853658536585366,0.24,0.2,0.04,0.32,0.68,0.0,0.25215917550855005,0.0,0.6258616936821491,0.4950102733082831,0,implementation_4_full,implementation,4,full
early,both_reachable,34,25,0.8235294117647058,0.7352941176470589,0.5,0.5,0.0,0.0,0.23529411764705882,0.3235294117647059,0.5588235294117647,0.38235294117647056,0.6176470588235294,0.24,0.2,0.04,0.32,0.68,0.0,0.25215917550855005,0.0,0.6258616936821491,0.4950102733082831,0,implementation_4_full,implementation,4,full
late,all,43,24,0.813953488372093,0.5581395348837209,0.627906976744186,0.3488372093023256,0.0,0.023255813953488372,0.20930232558139536,0.18604651162790697,0.3953488372093023,0.4186046511627907,0.5813953488372093,0.20833333333333334,0.20833333333333334,0.0,0.4166666666666667,0.5833333333333334,0.041666666666666664,0.2480246856144631,0.007370868776991756,0.6116160614932208,0.49848867863418267,0,implementation_4_full,implementation,4,full
late,both_reachable,36,24,0.8055555555555556,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.0,0.0,0.25,0.2222222222222222,0.4722222222222222,0.4444444444444444,0.5555555555555556,0.20833333333333334,0.20833333333333334,0.0,0.4166666666666667,0.5833333333333334,0.041666666666666664,0.2480246856144631,0.007370868776991756,0.6116160614932208,0.49848867863418267,0,implementation_4_full,implementation,4,full
early,all,41,26,0.8048780487804879,0.6341463414634146,0.5853658536585366,0.4146341463414634,0.0,0.0,0.21951219512195122,0.21951219512195122,0.43902439024390244,0.34146341463414637,0.6585365853658537,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.0,0.24955767924974717,0.0,0.6145075741912399,0.4954402206718802,0,implementation_8_disabled,implementation,8,disabled
early,both_reachable,34,26,0.7647058823529411,0.7647058823529411,0.5,0.5,0.0,0.0,0.2647058823529412,0.2647058823529412,0.5294117647058824,0.3235294117647059,0.6764705882352942,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.0,0.24955767924974717,0.0,0.6145075741912399,0.4954402206718802,0,implementation_8_disabled,implementation,8,disabled
late,all,43,25,0.813953488372093,0.5813953488372093,0.5581395348837209,0.4186046511627907,0.023255813953488372,0.0,0.13953488372093023,0.23255813953488372,0.3953488372093023,0.4883720930232558,0.5116279069767442,0.32,0.32,0.0,0.48,0.52,0.0,0.24428731124085765,0.0,0.5985731283628644,0.49520081433795604,0,implementation_8_disabled,implementation,8,disabled
late,both_reachable,36,25,0.7777777777777778,0.6944444444444444,0.4722222222222222,0.5,0.027777777777777776,0.0,0.16666666666666666,0.2777777777777778,0.4722222222222222,0.5,0.5,0.32,0.32,0.0,0.48,0.52,0.0,0.24428731124085765,0.0,0.5985731283628644,0.49520081433795604,0,implementation_8_disabled,implementation,8,disabled
early,all,41,26,0.8048780487804879,0.6341463414634146,0.5853658536585366,0.4146341463414634,0.0,0.0,0.21951219512195122,0.21951219512195122,0.43902439024390244,0.34146341463414637,0.6585365853658537,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.0,0.24955767924974717,0.0,0.6145075741912399,0.4954402206718802,0,implementation_8_objective,implementation,8,objective
early,both_reachable,34,26,0.7647058823529411,0.7647058823529411,0.5,0.5,0.0,0.0,0.2647058823529412,0.2647058823529412,0.5294117647058824,0.3235294117647059,0.6764705882352942,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.0,0.24955767924974717,0.0,0.6145075741912399,0.4954402206718802,0,implementation_8_objective,implementation,8,objective
late,all,43,25,0.813953488372093,0.5813953488372093,0.5581395348837209,0.4186046511627907,0.023255813953488372,0.0,0.13953488372093023,0.23255813953488372,0.3953488372093023,0.4883720930232558,0.5116279069767442,0.32,0.32,0.0,0.48,0.52,0.0,0.24428731124085765,0.0,0.5985731283628644,0.49520081433795604,0,implementation_8_objective,implementation,8,objective
late,both_reachable,36,25,0.7777777777777778,0.6944444444444444,0.4722222222222222,0.5,0.027777777777777776,0.0,0.16666666666666666,0.2777777777777778,0.4722222222222222,0.5,0.5,0.32,0.32,0.0,0.48,0.52,0.0,0.24428731124085765,0.0,0.5985731283628644,0.49520081433795604,0,implementation_8_objective,implementation,8,objective
early,all,41,26,0.8048780487804879,0.6341463414634146,0.5853658536585366,0.4146341463414634,0.0,0.0,0.21951219512195122,0.21951219512195122,0.43902439024390244,0.34146341463414637,0.6585365853658537,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.0,0.24955767924974717,0.0,0.6145075741912399,0.4954402206718802,0,implementation_8_full,implementation,8,full
early,both_reachable,34,26,0.7647058823529411,0.7647058823529411,0.5,0.5,0.0,0.0,0.2647058823529412,0.2647058823529412,0.5294117647058824,0.3235294117647059,0.6764705882352942,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.0,0.24955767924974717,0.0,0.6145075741912399,0.4954402206718802,0,implementation_8_full,implementation,8,full
late,all,43,29,0.8372093023255814,0.6744186046511628,0.5813953488372093,0.3953488372093023,0.023255813953488372,0.0,0.2558139534883721,0.23255813953488372,0.5116279069767442,0.5116279069767442,0.4883720930232558,0.3448275862068966,0.3103448275862069,0.034482758620689655,0.5517241379310345,0.4482758620689655,0.13793103448275862,0.24608416137252662,0.021822950522018023,0.604565092591892,0.4963870352587544,0,implementation_8_full,implementation,8,full
late,both_reachable,36,29,0.8055555555555556,0.8055555555555556,0.5,0.4722222222222222,0.027777777777777776,0.0,0.3055555555555556,0.2777777777777778,0.6111111111111112,0.5277777777777778,0.4722222222222222,0.3448275862068966,0.3103448275862069,0.034482758620689655,0.5517241379310345,0.4482758620689655,0.13793103448275862,0.24608416137252662,0.021822950522018023,0.604565092591892,0.4963870352587544,0,implementation_8_full,implementation,8,full
