cohort,onset,followup,population,cases,domestic_users,customer_users,first_d,first_e,first_both,no_submission,domestic_use,customer_use,both_use,d_to_e,e_to_d,resolved,unresolved,customer_minus_domestic,scenario,seed
2,12,24,all,19,17,8,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.0,0.8947368421052632,0.42105263157894735,0.3157894736842105,0.21052631578947367,0.05263157894736842,0.7368421052631579,0.2631578947368421,-0.4736842105263158,network_ws,0
2,12,24,both_reachable,18,16,8,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.0,0.8888888888888888,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.7777777777777778,0.2222222222222222,-0.4444444444444444,network_ws,0
3,18,24,all,18,14,7,0.6666666666666666,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.7777777777777778,0.3888888888888889,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.5555555555555556,0.4444444444444444,-0.3888888888888889,network_ws,0
3,18,24,both_reachable,11,8,7,0.5454545454545454,0.36363636363636365,0.09090909090909091,0.0,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.36363636363636365,-0.09090909090909094,network_ws,0
4,24,24,all,19,15,10,0.631578947368421,0.3157894736842105,0.0,0.05263157894736842,0.7894736842105263,0.5263157894736842,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.5263157894736842,0.47368421052631576,-0.26315789473684215,network_ws,0
4,24,24,both_reachable,16,13,10,0.625,0.375,0.0,0.0,0.8125,0.625,0.4375,0.25,0.1875,0.5625,0.4375,-0.1875,network_ws,0
5,30,24,all,14,13,9,0.5,0.5,0.0,0.0,0.9285714285714286,0.6428571428571429,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.35714285714285715,0.6428571428571429,-0.2857142857142857,network_ws,0
5,30,24,both_reachable,12,11,9,0.4166666666666667,0.5833333333333334,0.0,0.0,0.9166666666666666,0.75,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,-0.16666666666666663,network_ws,0
6,36,24,all,20,17,15,0.45,0.5,0.0,0.05,0.85,0.75,0.65,0.25,0.4,0.55,0.45,-0.09999999999999998,network_ws,0
6,36,24,both_reachable,19,17,15,0.47368421052631576,0.5263157894736842,0.0,0.0,0.8947368421052632,0.7894736842105263,0.6842105263157895,0.2631578947368421,0.42105263157894735,0.5789473684210527,0.42105263157894735,-0.10526315789473684,network_ws,0
7,42,24,all,23,17,10,0.6521739130434783,0.30434782608695654,0.0,0.043478260869565216,0.7391304347826086,0.43478260869565216,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.5652173913043478,0.43478260869565216,-0.3043478260869565,network_ws,0
7,42,24,both_reachable,17,12,10,0.5882352941176471,0.4117647058823529,0.0,0.0,0.7058823529411765,0.5882352941176471,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.6470588235294118,0.35294117647058826,-0.11764705882352944,network_ws,0
0,0,24,all,24,20,13,0.625,0.3333333333333333,0.0,0.041666666666666664,0.8333333333333334,0.5416666666666666,0.4166666666666667,0.20833333333333334,0.20833333333333334,0.4166666666666667,0.5833333333333334,-0.29166666666666674,network_ba,0
0,0,24,both_reachable,19,16,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.8421052631578947,0.6842105263157895,0.5263157894736842,0.2631578947368421,0.2631578947368421,0.42105263157894735,0.5789473684210527,-0.1578947368421052,network_ba,0
1,6,24,all,17,14,12,0.47058823529411764,0.5294117647058824,0.0,0.0,0.8235294117647058,0.7058823529411765,0.5294117647058824,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.5294117647058824,-0.11764705882352933,network_ba,0
1,6,24,both_reachable,15,12,12,0.4,0.6,0.0,0.0,0.8,0.8,0.6,0.2,0.4,0.4666666666666667,0.5333333333333333,0.0,network_ba,0
2,12,24,all,19,17,9,0.6842105263157895,0.2631578947368421,0.05263157894736842,0.0,0.8947368421052632,0.47368421052631576,0.3684210526315789,0.15789473684210525,0.15789473684210525,0.6842105263157895,0.3157894736842105,-0.4210526315789474,network_ba,0
2,12,24,both_reachable,18,16,9,0.6666666666666666,0.2777777777777778,0.05555555555555555,0.0,0.8888888888888888,0.5,0.3888888888888889,0.16666666666666666,0.16666666666666666,0.7222222222222222,0.2777777777777778,-0.38888888888888884,network_ba,0
3,18,24,all,18,15,4,0.7777777777777778,0.16666666666666666,0.0,0.05555555555555555,0.8333333333333334,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.6666666666666666,0.3333333333333333,-0.6111111111111112,network_ba,0
3,18,24,both_reachable,11,9,4,0.7272727272727273,0.2727272727272727,0.0,0.0,0.8181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.2727272727272727,-0.4545454545454546,network_ba,0
4,24,24,all,19,16,9,0.6842105263157895,0.2631578947368421,0.0,0.05263157894736842,0.8421052631578947,0.47368421052631576,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.47368421052631576,0.5263157894736842,-0.3684210526315789,network_ba,0
4,24,24,both_reachable,16,13,9,0.625,0.3125,0.0,0.0625,0.8125,0.5625,0.4375,0.25,0.1875,0.375,0.625,-0.25,network_ba,0
5,30,24,all,14,14,7,0.7857142857142857,0.21428571428571427,0.0,0.0,1.0,0.5,0.5,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.7142857142857143,-0.5,network_ba,0
5,30,24,both_reachable,12,12,7,0.75,0.25,0.0,0.0,1.0,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.25,0.25,0.75,-0.41666666666666663,network_ba,0
6,36,24,all,20,16,11,0.6,0.4,0.0,0.0,0.8,0.55,0.35,0.15,0.2,0.55,0.45,-0.25,network_ba,0
6,36,24,both_reachable,19,15,11,0.5789473684210527,0.42105263157894735,0.0,0.0,0.7894736842105263,0.5789473684210527,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.5263157894736842,0.47368421052631576,-0.21052631578947367,network_ba,0
7,42,24,all,23,18,12,0.5652173913043478,0.43478260869565216,0.0,0.0,0.782608695652174,0.5217391304347826,0.30434782608695654,0.08695652173913043,0.21739130434782608,0.5217391304347826,0.4782608695652174,-0.26086956521739135,network_ba,0
7,42,24,both_reachable,17,12,12,0.4117647058823529,0.5882352941176471,0.0,0.0,0.7058823529411765,0.7058823529411765,0.4117647058823529,0.11764705882352941,0.29411764705882354,0.5882352941176471,0.4117647058823529,0.0,network_ba,0
0,0,24,all,24,21,14,0.6666666666666666,0.3333333333333333,0.0,0.0,0.875,0.5833333333333334,0.4583333333333333,0.25,0.20833333333333334,0.4583333333333333,0.5416666666666666,-0.29166666666666663,domestic_tight,0
0,0,24,both_reachable,19,16,14,0.5789473684210527,0.42105263157894735,0.0,0.0,0.8421052631578947,0.7368421052631579,0.5789473684210527,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.5789473684210527,-0.10526315789473684,domestic_tight,0
1,6,24,all,17,13,13,0.5294117647058824,0.47058823529411764,0.0,0.0,0.7647058823529411,0.7647058823529411,0.5294117647058824,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.7647058823529411,0.0,domestic_tight,0
1,6,24,both_reachable,15,11,13,0.4666666666666667,0.5333333333333333,0.0,0.0,0.7333333333333333,0.8666666666666667,0.6,0.3333333333333333,0.26666666666666666,0.2,0.8,0.13333333333333341,domestic_tight,0
2,12,24,all,19,16,11,0.6842105263157895,0.21052631578947367,0.0,0.10526315789473684,0.8421052631578947,0.5789473684210527,0.5263157894736842,0.3684210526315789,0.15789473684210525,0.2631578947368421,0.7368421052631579,-0.26315789473684204,domestic_tight,0
2,12,24,both_reachable,18,15,11,0.6666666666666666,0.2222222222222222,0.0,0.1111111111111111,0.8333333333333334,0.6111111111111112,0.5555555555555556,0.3888888888888889,0.16666666666666666,0.2222222222222222,0.7777777777777778,-0.2222222222222222,domestic_tight,0
3,18,24,all,18,15,8,0.7222222222222222,0.2222222222222222,0.0,0.05555555555555555,0.8333333333333334,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.05555555555555555,0.9444444444444444,-0.38888888888888895,domestic_tight,0
3,18,24,both_reachable,11,9,8,0.6363636363636364,0.36363636363636365,0.0,0.0,0.8181818181818182,0.7272727272727273,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.9090909090909091,-0.09090909090909094,domestic_tight,0
4,24,24,all,19,14,11,0.631578947368421,0.3157894736842105,0.0,0.05263157894736842,0.7368421052631579,0.5789473684210527,0.3684210526315789,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.8421052631578947,-0.1578947368421052,domestic_tight,0
4,24,24,both_reachable,16,11,11,0.5625,0.375,0.0,0.0625,0.6875,0.6875,0.4375,0.3125,0.125,0.1875,0.8125,0.0,domestic_tight,0
5,30,24,all,14,13,9,0.6428571428571429,0.35714285714285715,0.0,0.0,0.9285714285714286,0.6428571428571429,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.9285714285714286,-0.2857142857142857,domestic_tight,0
5,30,24,both_reachable,12,11,9,0.5833333333333334,0.4166666666666667,0.0,0.0,0.9166666666666666,0.75,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.9166666666666666,-0.16666666666666663,domestic_tight,0
6,36,24,all,20,17,13,0.55,0.4,0.0,0.05,0.85,0.65,0.55,0.25,0.3,0.0,1.0,-0.19999999999999996,domestic_tight,0
6,36,24,both_reachable,19,17,13,0.5789473684210527,0.42105263157894735,0.0,0.0,0.8947368421052632,0.6842105263157895,0.5789473684210527,0.2631578947368421,0.3157894736842105,0.0,1.0,-0.21052631578947367,domestic_tight,0
