scenario,population,metric,comparison,n,mean,low,high
cost_high,all,customer_minus_domestic,early_level,2,-0.25348432055749126,-0.2926829268292683,-0.2142857142857142
cost_high,all,customer_minus_domestic,late_level,2,-0.20365448504983386,-0.3142857142857142,-0.09302325581395351
cost_high,all,customer_minus_domestic,late_minus_early,2,0.04982983550765736,-0.10000000000000003,0.19965967101531476
cost_high,both_reachable,domestic_use,early_level,2,0.7123161764705883,0.7058823529411765,0.71875
cost_high,both_reachable,domestic_use,late_level,2,0.7083333333333333,0.6388888888888888,0.7777777777777778
cost_high,both_reachable,domestic_use,late_minus_early,2,-0.003982843137254943,-0.06699346405228768,0.05902777777777779
cost_high,both_reachable,customer_use,early_level,2,0.6387867647058824,0.5588235294117647,0.71875
cost_high,both_reachable,customer_use,late_level,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
cost_high,both_reachable,customer_use,late_minus_early,2,0.02787990196078427,-0.05208333333333337,0.10784313725490191
cost_high,both_reachable,first_d,early_level,2,0.5147058823529411,0.5,0.5294117647058824
cost_high,both_reachable,first_d,late_level,2,0.42592592592592593,0.4074074074074074,0.4444444444444444
cost_high,both_reachable,first_d,late_minus_early,2,-0.08877995642701528,-0.09259259259259262,-0.08496732026143794
cost_high,both_reachable,first_e,early_level,2,0.45588235294117646,0.4117647058823529,0.5
cost_high,both_reachable,first_e,late_level,2,0.5416666666666667,0.5277777777777778,0.5555555555555556
cost_high,both_reachable,first_e,late_minus_early,2,0.08578431372549022,0.05555555555555558,0.11601307189542487
cost_high,both_reachable,first_both,early_level,2,0.0,0.0,0.0
cost_high,both_reachable,first_both,late_level,2,0.0,0.0,0.0
cost_high,both_reachable,first_both,late_minus_early,2,0.0,0.0,0.0
cost_high,both_reachable,no_submission,early_level,2,0.029411764705882346,0.0,0.05882352941176469
cost_high,both_reachable,no_submission,late_level,2,0.0324074074074074,0.027777777777777776,0.03703703703703702
cost_high,both_reachable,no_submission,late_minus_early,2,0.002995642701525053,-0.031045751633986915,0.03703703703703702
cost_high,both_reachable,d_to_e,early_level,2,0.18290441176470584,0.14705882352941171,0.21874999999999997
cost_high,both_reachable,d_to_e,late_level,2,0.12499999999999994,0.11111111111111106,0.13888888888888884
cost_high,both_reachable,d_to_e,late_minus_early,2,-0.05790441176470589,-0.10763888888888891,-0.008169934640522875
cost_high,both_reachable,e_to_d,early_level,2,0.19761029411764702,0.17647058823529407,0.21874999999999997
cost_high,both_reachable,e_to_d,late_level,2,0.2824074074074074,0.19444444444444445,0.37037037037037035
cost_high,both_reachable,e_to_d,late_minus_early,2,0.08479711328976038,0.017973856209150374,0.15162037037037038
cost_high,both_reachable,resolved,early_level,2,0.39246323529411764,0.34375,0.4411764705882352
cost_high,both_reachable,resolved,late_level,2,0.4722222222222222,0.4444444444444444,0.5
cost_high,both_reachable,resolved,late_minus_early,2,0.0797589869281046,0.058823529411764774,0.10069444444444442
cost_high,both_reachable,customer_minus_domestic,early_level,2,-0.07352941176470587,-0.14705882352941177,2.0816681711721685e-17
cost_high,both_reachable,customer_minus_domestic,late_level,2,-0.04166666666666668,-0.11111111111111113,0.027777777777777776
cost_high,both_reachable,customer_minus_domestic,late_minus_early,2,0.031862745098039186,-0.11111111111111116,0.17483660130718953
cost_low,all,domestic_use,early_level,2,0.9152148664343787,0.8780487804878049,0.9523809523809523
cost_low,all,domestic_use,late_level,2,0.8614617940199336,0.8372093023255814,0.8857142857142857
cost_low,all,domestic_use,late_minus_early,2,-0.05375307241444505,-0.06666666666666665,-0.04083947816222344
cost_low,all,customer_use,early_level,2,0.602787456445993,0.5714285714285714,0.6341463414634146
cost_low,all,customer_use,late_level,2,0.6425249169435217,0.627906976744186,0.6571428571428571
cost_low,all,customer_use,late_minus_early,2,0.039737460497528576,-0.006239364719228591,0.08571428571428574
cost_low,all,first_d,early_level,2,0.5897212543554007,0.5365853658536586,0.6428571428571429
cost_low,all,first_d,late_level,2,0.5647840531561461,0.5581395348837209,0.5714285714285714
cost_low,all,first_d,late_minus_early,2,-0.024937201199254577,-0.07142857142857151,0.021554169030062353
cost_low,all,first_e,early_level,2,0.3864692218350755,0.3095238095238095,0.4634146341463415
cost_low,all,first_e,late_level,2,0.4119601328903654,0.3953488372093023,0.42857142857142855
cost_low,all,first_e,late_minus_early,2,0.025490911055289944,-0.06806579693703918,0.11904761904761907
cost_low,all,first_both,early_level,2,0.023809523809523798,0.0,0.047619047619047596
cost_low,all,first_both,late_level,2,0.023255813953488372,0.0,0.046511627906976744
cost_low,all,first_both,late_minus_early,2,-0.000553709856035426,-0.047619047619047596,0.046511627906976744
cost_low,all,no_submission,early_level,2,0.0,0.0,0.0
cost_low,all,no_submission,late_level,2,0.0,0.0,0.0
cost_low,all,no_submission,late_minus_early,2,0.0,0.0,0.0
cost_low,all,d_to_e,early_level,2,0.1925087108013937,0.17073170731707313,0.21428571428571425
cost_low,all,d_to_e,late_level,2,0.20730897009966776,0.18604651162790695,0.22857142857142856
cost_low,all,d_to_e,late_minus_early,2,0.014800259298274068,0.014285714285714318,0.015314804310833818
cost_low,all,e_to_d,early_level,2,0.30168408826945414,0.2619047619047619,0.34146341463414637
cost_low,all,e_to_d,late_level,2,0.273421926910299,0.2325581395348837,0.3142857142857143
cost_low,all,e_to_d,late_minus_early,2,-0.028262161359155158,-0.10890527509926268,0.05238095238095236
cost_low,all,resolved,early_level,2,0.43408826945412315,0.40476190476190477,0.4634146341463415
cost_low,all,resolved,late_level,2,0.5388704318936877,0.5348837209302325,0.5428571428571428
