scenario,seed,time,new_disputes,new_complaints,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
effect_high,19,49,0,0,0,94,0,0,8,8,102,94,94,94,0,0,0,0,8,0.9215686274509803,0.0,0.25,1.0,0.0,0.0
threshold_low,0,49,0,0,0,94,0,0,7,7,101,94,94,94,0,0,0,0,7,0.9306930693069307,0.0,0.0,1.0,0.0,0.0
threshold_low,1,49,0,0,0,23,0,0,61,61,84,23,23,23,0,0,0,0,61,0.27380952380952384,0.0,1.1967213114754098,1.0,0.0,0.0
threshold_low,2,49,0,0,0,42,0,0,50,50,92,42,42,42,0,0,0,0,50,0.45652173913043476,0.0,0.66,1.0,0.0,0.0
threshold_low,3,49,0,0,0,24,0,0,65,65,89,24,24,24,0,0,0,0,65,0.2696629213483146,0.0,1.2,1.0,0.0,0.0
threshold_low,4,49,0,0,0,79,0,0,23,23,102,79,79,79,0,0,0,0,23,0.7745098039215687,0.0,0.43478260869565216,1.0,0.0,0.0
threshold_low,5,49,0,0,0,29,0,0,67,67,96,29,29,29,0,0,0,0,67,0.3020833333333333,0.0,0.8059701492537313,1.0,0.0,0.0
threshold_low,6,49,0,0,0,20,0,0,74,74,94,20,20,20,0,0,0,0,74,0.2127659574468085,0.0,1.8108108108108107,1.0,0.0,0.0
threshold_low,7,49,0,0,0,22,0,0,71,71,93,22,22,22,0,0,0,0,71,0.23655913978494625,0.0,1.267605633802817,1.0,0.0,0.0
threshold_low,8,49,0,0,0,30,0,0,69,69,99,30,30,30,0,0,0,0,69,0.30303030303030304,0.0,1.2753623188405796,1.0,0.0,0.0
threshold_low,9,49,0,0,0,90,0,0,12,12,102,90,90,90,0,0,0,0,12,0.8823529411764706,0.0,0.5833333333333334,1.0,0.0,0.0
threshold_low,10,49,0,0,0,90,0,0,7,7,97,90,90,90,0,0,0,0,7,0.9278350515463918,0.0,0.2857142857142857,1.0,0.0,0.0
threshold_low,11,49,0,0,0,51,0,0,34,34,85,51,51,51,0,0,0,0,34,0.6,0.0,0.6176470588235294,1.0,0.0,0.0
threshold_low,12,49,0,0,0,17,0,0,85,85,102,17,17,17,0,0,0,0,85,0.16666666666666666,0.0,1.611764705882353,1.0,0.0,0.0
threshold_low,13,49,0,0,0,16,0,0,80,80,96,16,16,16,0,0,0,0,80,0.16666666666666666,0.0,1.8875,1.0,0.0,0.0
threshold_low,14,49,0,0,0,34,0,0,59,59,93,34,34,34,0,0,0,0,59,0.3655913978494624,0.0,1.152542372881356,1.0,0.0,0.0
threshold_low,15,49,0,0,0,94,0,0,3,3,97,94,94,94,0,0,0,0,3,0.9690721649484536,0.0,0.0,1.0,0.0,0.0
threshold_low,16,49,0,0,0,63,0,0,22,22,85,63,63,63,0,0,0,0,22,0.7411764705882353,0.0,0.8636363636363636,1.0,0.0,0.0
threshold_low,17,49,0,0,0,20,0,0,76,76,96,20,20,20,0,0,0,0,76,0.20833333333333334,0.0,1.5526315789473684,1.0,0.0,0.0
threshold_low,18,49,0,0,0,85,0,0,2,2,87,85,85,85,0,0,0,0,2,0.9770114942528736,0.0,0.0,1.0,0.0,0.0
threshold_low,19,49,0,0,0,40,0,0,62,62,102,40,40,40,0,0,0,0,62,0.39215686274509803,0.0,0.7741935483870968,1.0,0.0,0.0
threshold_high,0,49,0,0,0,94,0,0,7,7,101,94,94,94,0,0,0,0,7,0.9306930693069307,0.0,0.0,1.0,0.0,0.0
threshold_high,1,49,0,0,0,76,0,0,8,8,84,76,76,76,0,0,0,0,8,0.9047619047619048,0.0,0.75,1.0,0.0,0.0
threshold_high,2,49,0,0,0,82,0,0,10,10,92,82,82,82,0,0,0,0,10,0.8913043478260869,0.0,0.5,1.0,0.0,0.0
threshold_high,3,49,0,0,0,85,0,0,4,4,89,85,85,85,0,0,0,0,4,0.9550561797752809,0.0,2.0,1.0,0.0,0.0
