time,case_id,employee,selected,material_known,social_d,social_e,pending_d,pending_e,recent_d,recent_e,success_d,success_e,failure_d,failure_e,p_d,p_e,cost_d,cost_e,expected_wait_d,expected_wait_e,utilities
13,34:6,34,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.41646186055116163,0.2610662765689028,3.0,3.0,wait:0.466197
13,36:0,36,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.40868282925775223,0.41900053739797377,3.0,3.0,wait:0.000000
13,40:6,40,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.40979428068998186,0.24866690722000864,3.0,3.0,wait:0.482803
13,42:0,42,no_addition,False,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,1.0,2.0,2.0,0.5,0.5,0.3370247532265757,0.2534510171764107,3.0,3.0,wait:0.000000
13,46:6,46,no_addition,False,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,1.0,4.0,2.0,0.5,0.5,0.3439476292750366,0.18760280558111614,3.0,3.0,wait:0.482803
13,76:0,76,no_addition,False,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.21683692367874113,0.43043667868936064,3.0,3.0,wait:0.000000;e:-0.000274
13,96:6,96,no_addition,False,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.3523001079075671,0.44320868309654154,3.0,3.0,wait:0.000000;e:-0.013046
13,108:0,108,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.5,0.5,0.4051152694937241,0.34700663599438875,3.0,3.0,wait:0.000000
13,136:12,136,e,False,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,1.0,2.0,3.0,0.0,0.5,0.5,0.4223974343666844,0.21721088517641865,3.0,3.0,wait:0.000000;d:0.027765;e:0.232951;d+e:0.038070
13,137:6,137,no_addition,False,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.21067495909785985,0.38531273408114686,3.0,3.0,wait:0.000000
13,140:6,140,no_addition,False,0.0625,0.0,0.0625,0.0,0.0625,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.3346212834544936,0.4172365301980692,3.0,3.0,wait:0.466197
13,159:0,159,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.5,0.5,0.3379496723410936,0.4064367469037631,3.0,3.0,wait:0.000000
13,163:12,163,d,False,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,1.0,0.0,1.0,1.0,0.5,0.5,0.20120873539899256,0.3725321394430762,3.0,3.0,wait:0.000000;d:0.248954;e:0.077630;d+e:0.103938
13,176:6,176,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.29667236080361553,0.19039524472284738,3.0,3.0,wait:0.000000
13,179:12,179,d,False,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.30624217733824327,0.3130310006340152,3.0,3.0,wait:0.000000;d:0.143920;e:0.137131;d+e:0.058405
13,181:12,181,e,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.39624013053372786,0.3667363039972709,3.0,3.0,wait:0.000000;d:0.053922;e:0.083426;d+e:-0.085298
13,187:6,187,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.362124988748831,0.3298573274808079,3.0,3.0,wait:0.482803
13,201:0,201,no_addition,False,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.20072772104470216,0.20987555220806772,3.0,3.0,wait:0.000000
13,206:6,206,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.21149801716550876,0.3938870593751493,3.0,3.0,wait:0.482803
13,214:6,214,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.5,0.443590841096819,0.2925123474407271,3.0,3.0,wait:0.000000;d:-0.013429
13,218:0,218,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.5,0.22402292046599662,0.387614879129818,3.0,3.0,wait:0.000000
13,221:12,221,e,False,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.5,0.5,0.309422400651154,0.2701802264111867,3.0,3.0,wait:0.000000;d:0.140740;e:0.179982;d+e:0.098076
13,229:12,229,d,False,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,2.0,3.0,2.0,0.5,0.5,0.26017668021861107,0.3017892034318376,3.0,3.0,wait:0.000000;d:0.189986;e:0.148373;d+e:0.115713
14,5:6,5,no_addition,False,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,1.0,0.5,0.5,0.18627775142604694,0.4363383782700089,3.0,3.0,wait:0.000000;e:-0.006176
14,7:12,7,d,False,0.0625,0.0,0.0625,0.0,0.0625,0.0,2.0,2.0,1.0,1.0,0.5,0.5,0.21541792225853076,0.360297816103504,3.0,3.0,wait:0.000000;d:0.234744;e:0.089864;d+e:0.101963
14,19:12,19,d+e,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.16018761077334098,0.17043820780336796,3.0,3.0,wait:0.000000;d:0.289975;e:0.279724;d+e:0.347053
14,34:6,34,no_addition,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.41646186055116163,0.2610662765689028,3.0,3.0,wait:0.482803
