variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.3,low_tail,late,customer_success,19,0.19479949874686717,0.1416666666666667,0.24466635338345857
limited_access,0.3,low_tail,late,first_customer,20,0.31634638645668056,0.251604344491293,0.37857284106824546
limited_access,0.3,low_tail,late,both_use,20,0.35288760259348495,0.27202634008148713,0.43190744916847856
limited_access,0.3,low_tail,late,d_to_e,20,0.16852309455250633,0.11940749569058393,0.22076608195725836
limited_access,0.3,low_tail,late,firm_equal_resolved,20,0.3385515873015873,0.27478968253968256,0.4020855654761904
limited_access,0.5,all,early,domestic_use,20,0.7918487719229313,0.7660788947395177,0.8171115688418464
limited_access,0.5,all,early,customer_use,20,0.508635529149507,0.46434069021951296,0.5560013025930572
limited_access,0.5,all,early,resolved,20,0.3929737386396385,0.36043942322772343,0.42333499750823356
limited_access,0.5,all,early,customer_success,20,0.24542398103459476,0.18914541561024933,0.30246870432955786
limited_access,0.5,all,early,first_customer,20,0.3350263948883979,0.2948726937437949,0.3783619291571093
limited_access,0.5,all,early,both_use,20,0.3482469050472105,0.3125109352918556,0.38254779498108116
limited_access,0.5,all,early,d_to_e,20,0.1639556323854329,0.14078743205588243,0.18892475031128333
limited_access,0.5,all,early,firm_equal_resolved,20,0.3927744708994708,0.35675,0.42565434854497347
limited_access,0.5,all,late,domestic_use,20,0.8050592591116462,0.7802293347779287,0.8292817400409571
limited_access,0.5,all,late,customer_use,20,0.4908901987161701,0.4513161576588706,0.529801092127192
limited_access,0.5,all,late,resolved,20,0.38056557442401695,0.3385830271577717,0.42619334056628433
limited_access,0.5,all,late,customer_success,20,0.23812371391937956,0.19440825007036303,0.28398481525784147
limited_access,0.5,all,late,first_customer,20,0.31455857191675884,0.27979052421233225,0.34864121716047086
limited_access,0.5,all,late,both_use,20,0.3351599453377224,0.3007795075650957,0.368503646840413
limited_access,0.5,all,late,d_to_e,20,0.16328739390052716,0.13197900286527667,0.1954803857193609
limited_access,0.5,all,late,firm_equal_resolved,20,0.3772486772486773,0.3336782407407407,0.4232451223544974
limited_access,0.5,high,early,domestic_use,20,0.8162963238134864,0.7730704924366251,0.8535609038137999
limited_access,0.5,high,early,customer_use,20,0.5220264470464698,0.43918111876364163,0.5992957949674911
limited_access,0.5,high,early,resolved,20,0.3719808992177413,0.3237571995803904,0.4159398092253854
limited_access,0.5,high,early,customer_success,20,0.23353700393174073,0.1674162361761046,0.3077252389423441
limited_access,0.5,high,early,first_customer,20,0.3324492906343593,0.2787070446001367,0.3915694659078526
limited_access,0.5,high,early,both_use,20,0.38188219024174397,0.315241052132142,0.4482940813000881
limited_access,0.5,high,early,d_to_e,20,0.18055541728167585,0.13504169669480023,0.22960142961776955
limited_access,0.5,high,early,firm_equal_resolved,20,0.3726984126984127,0.3202971230158731,0.4187008928571428
limited_access,0.5,high,late,domestic_use,20,0.7688685918858217,0.7251243535362276,0.810224989023069
limited_access,0.5,high,late,customer_use,20,0.46998064420622965,0.3943930975500248,0.5444911449753432
limited_access,0.5,high,late,resolved,20,0.3860666692306213,0.3301848872246006,0.44102910529200234
limited_access,0.5,high,late,customer_success,20,0.25279942279942275,0.18038474025974027,0.332828373015873
limited_access,0.5,high,late,first_customer,20,0.31432035559525795,0.2600085657390686,0.3715029274911198
limited_access,0.5,high,late,both_use,20,0.2878780645813557,0.23562911651294588,0.3420603751043791
limited_access,0.5,high,late,d_to_e,20,0.15008753319301502,0.11020863747516894,0.19227876520381393
limited_access,0.5,high,late,firm_equal_resolved,20,0.38365740740740745,0.3285137235449735,0.4363682208994708
limited_access,0.5,high_tail,early,domestic_use,20,0.8340546544958309,0.7745612328847623,0.8890246052966642
limited_access,0.5,high_tail,early,customer_use,20,0.5611476595300126,0.4574945197776081,0.6434750555816732
limited_access,0.5,high_tail,early,resolved,20,0.38553591833003586,0.3208319413429707,0.4475349833989539
limited_access,0.5,high_tail,early,customer_success,19,0.24453923269712738,0.16296365914786964,0.32362235717498866
limited_access,0.5,high_tail,early,first_customer,20,0.3475164378105554,0.2798484872970167,0.41362023352464516
limited_access,0.5,high_tail,early,both_use,20,0.4341128479363773,0.33462166305916297,0.5293640848530554
limited_access,0.5,high_tail,early,d_to_e,20,0.21363122171945698,0.14969793319425667,0.2821910601653248
limited_access,0.5,high_tail,early,firm_equal_resolved,20,0.3853968253968253,0.31738194444444445,0.45030034722222206
limited_access,0.5,high_tail,late,domestic_use,20,0.7386450926524455,0.6778514968487395,0.7955907771762551
limited_access,0.5,high_tail,late,customer_use,20,0.5054069704804999,0.4119910040939452,0.5892945957229044
limited_access,0.5,high_tail,late,resolved,20,0.39662065467212526,0.3277400210084033,0.46673701563958925
limited_access,0.5,high_tail,late,customer_success,19,0.2990848332953596,0.20484307359307358,0.39778717627401833
limited_access,0.5,high_tail,late,first_customer,20,0.32802480607627665,0.25066666666666665,0.40931641887524234
limited_access,0.5,high_tail,late,both_use,20,0.3048853964662789,0.24238329562594269,0.3697724998653307
limited_access,0.5,high_tail,late,d_to_e,20,0.16853601055806938,0.11472597163865543,0.2247068250377074
