variant,dependence_mean,grouping,period,metric,n,mean,low,high
limited_access,0.7,halves,late,first_customer,20,-0.008969554641078419,-0.09948838401077098,0.07957200071450803
limited_access,0.7,halves,late,both_use,20,-0.049914640341262397,-0.14116465935847333,0.04666316970021825
limited_access,0.7,halves,late,d_to_e,20,-0.004714902568752362,-0.07442464126972474,0.06409011289922667
limited_access,0.7,halves,late,firm_equal_resolved,20,-0.008763227513227518,-0.08782357804232807,0.06715988756613755
limited_access,0.7,tails,early,domestic_use,20,0.04331254529783942,-0.05190739958570837,0.1398413020802727
limited_access,0.7,tails,early,customer_use,20,0.0230085478247243,-0.11445609323274764,0.16560720315223992
limited_access,0.7,tails,early,resolved,20,-0.020846273824215007,-0.10704028722502988,0.06456028091597939
limited_access,0.7,tails,early,customer_success,18,-0.0054914221580888295,-0.10562575156325156,0.09425755571588891
limited_access,0.7,tails,early,first_customer,20,-0.012150639393286455,-0.11277798202614381,0.09049438929126415
limited_access,0.7,tails,early,both_use,20,0.06757740625387684,-0.05251845254418781,0.18879295500251383
limited_access,0.7,tails,early,d_to_e,20,0.022979700038523572,-0.05650961395630516,0.10858282852768142
limited_access,0.7,tails,early,firm_equal_resolved,20,-0.025654761904761895,-0.11736011904761905,0.0651063988095238
limited_access,0.7,tails,late,domestic_use,20,-0.013964993339993358,-0.07874001549920671,0.05211723876613579
limited_access,0.7,tails,late,customer_use,20,-0.02091330238389062,-0.18817709373959374,0.13387985421441284
limited_access,0.7,tails,late,resolved,20,0.03240215258597612,-0.06578081916041476,0.13551288907171238
limited_access,0.7,tails,late,customer_success,18,0.052738927738927716,-0.06208613916947252,0.16913920955587616
limited_access,0.7,tails,late,first_customer,20,-0.0066165493003728345,-0.14243403879617117,0.12070205162484542
limited_access,0.7,tails,late,both_use,20,-0.018379794225382457,-0.13524454130428396,0.09734344209711852
limited_access,0.7,tails,late,d_to_e,20,0.00922888794212324,-0.06312471627637069,0.08758389608757244
limited_access,0.7,tails,late,firm_equal_resolved,20,0.04498015873015873,-0.054999255952380983,0.14858531746031745
limited_access,0.9,halves,early,domestic_use,20,0.023840760109605168,-0.049399823560587135,0.09138329330978276
limited_access,0.9,halves,early,customer_use,20,-0.014701695167353385,-0.1522244289956465,0.12705264353374987
limited_access,0.9,halves,early,resolved,20,-0.0222654173312068,-0.09639488810875226,0.049532122518499797
limited_access,0.9,halves,early,customer_success,20,-0.01097347097347097,-0.10015128101065603,0.08191896991896984
limited_access,0.9,halves,early,first_customer,20,-0.01341761617968042,-0.11871352190284964,0.10181903497044749
limited_access,0.9,halves,early,both_use,20,0.009244375737258378,-0.0921021109170906,0.1081045251589992
limited_access,0.9,halves,early,d_to_e,20,-0.0031319050746295247,-0.06083396025787751,0.05203216911461198
limited_access,0.9,halves,early,firm_equal_resolved,20,-0.029067460317460346,-0.10273230820105823,0.04435879629629623
limited_access,0.9,halves,late,domestic_use,20,-0.052484948663606666,-0.11158052759060427,0.007536046534538458
limited_access,0.9,halves,late,customer_use,20,-0.02367903514987581,-0.15176124166641908,0.10498354659803036
limited_access,0.9,halves,late,resolved,20,-0.010424201561215296,-0.07568914194162166,0.053630112197174125
limited_access,0.9,halves,late,customer_success,20,0.003212722949565061,-0.0819641716749882,0.09533734953234753
limited_access,0.9,halves,late,first_customer,20,-0.0036422271044192086,-0.09360161859713031,0.09298935132396677
limited_access,0.9,halves,late,both_use,20,-0.05539694327561136,-0.14723366021569853,0.043183317891940715
limited_access,0.9,halves,late,d_to_e,20,-0.011206541090189644,-0.06820153959102886,0.047454163541239915
limited_access,0.9,halves,late,firm_equal_resolved,20,-0.014378306878306876,-0.07986259920634922,0.048596395502645405
limited_access,0.9,tails,early,domestic_use,20,0.018810519545813663,-0.08929966948900772,0.12377571693012866
limited_access,0.9,tails,early,customer_use,20,0.01294456360632831,-0.13824632679412094,0.16916342277004037
limited_access,0.9,tails,early,resolved,20,-0.02489028536822655,-0.10232640888523244,0.057245746492069975
limited_access,0.9,tails,early,customer_success,18,-0.026406001406001425,-0.13426995843662512,0.09761097698597686
limited_access,0.9,tails,early,first_customer,20,0.02401197658550599,-0.09828329901307845,0.14928496789158552
limited_access,0.9,tails,early,both_use,20,0.03315208892414774,-0.0846470465808701,0.1505002273053743
limited_access,0.9,tails,early,d_to_e,20,-0.006900746312511012,-0.08049187719959777,0.06568916377739888
limited_access,0.9,tails,early,firm_equal_resolved,20,-0.03894841269841269,-0.11874479166666667,0.04622222222222221
limited_access,0.9,tails,late,domestic_use,20,-0.012039627039627052,-0.09793787217684277,0.07657622769387464
limited_access,0.9,tails,late,customer_use,20,-0.002774933399933399,-0.17276420332118858,0.16072584186646682
limited_access,0.9,tails,late,resolved,20,0.03266945472827827,-0.04820932458064809,0.11001762116559904
limited_access,0.9,tails,late,customer_success,18,-0.006464523131189791,-0.11234581776248445,0.1075789603914603
limited_access,0.9,tails,late,first_customer,20,-0.0124633005883006,-0.14855206099048018,0.12334537755953193
limited_access,0.9,tails,late,both_use,20,0.0054584508628626295,-0.12190308343617166,0.13292457052751155
limited_access,0.9,tails,late,d_to_e,20,0.015064498410086627,-0.0522812763217175,0.08060422145256693
limited_access,0.9,tails,late,firm_equal_resolved,20,0.039732142857142855,-0.036267361111111125,0.11387227182539682
main,0.1,halves,early,domestic_use,20,0.015240251776461216,-0.03729257276119659,0.06541673520571462
main,0.1,halves,early,customer_use,20,0.07463269249520763,0.02169028120488191,0.13111144160571447
main,0.1,halves,early,resolved,20,-0.023109778583092634,-0.09298389464698231,0.051896837691546314
main,0.1,halves,early,customer_success,20,0.05829122266622268,0.006741048881673898,0.10734928092740594
main,0.1,halves,early,first_customer,20,0.021290824543533527,-0.039863884261145004,0.0875580466189839
main,0.1,halves,early,both_use,20,0.07568782915010536,0.012475847659551299,0.1413879703964486
main,0.1,halves,early,d_to_e,20,0.05311836188257981,0.0007122820389684373,0.10067453261122077
main,0.1,halves,early,firm_equal_resolved,20,-0.04156746031746032,-0.11380505952380954,0.035876818783068656
main,0.1,halves,late,domestic_use,20,-0.05457287162143132,-0.11187842355928569,0.006731646303379522
main,0.1,halves,late,customer_use,20,0.1300216031388632,0.06716222617826341,0.19497251656712886
main,0.1,halves,late,resolved,20,-0.015319602894899054,-0.08003695947295776,0.0482103516676241
main,0.1,halves,late,customer_success,20,0.018207486957486953,-0.03233012126762127,0.07389605880230878
main,0.1,halves,late,first_customer,20,0.09427331200492123,0.04344025392037401,0.1544295594949893
main,0.1,halves,late,both_use,20,0.04681991358016056,-0.012637754187209874,0.11162763906746732
main,0.1,halves,late,d_to_e,20,0.027094007615527993,-0.019779601548337255,0.07288445166916359
main,0.1,halves,late,firm_equal_resolved,20,-0.015324074074074065,-0.08177612433862434,0.04938029100529098
main,0.1,tails,early,domestic_use,20,0.021442617839676652,-0.05209148123118713,0.0884443263027822
main,0.1,tails,early,customer_use,20,0.13086233211233209,0.061158692614574975,0.20456411990786974
main,0.1,tails,early,resolved,20,-0.01801559143470908,-0.0970419187634261,0.06540179693672339
main,0.1,tails,early,customer_success,20,0.08667207792207791,0.03445941558441558,0.13796929112554113
main,0.1,tails,early,first_customer,20,0.01940257046874695,-0.07131812346150582,0.10960377775818941
main,0.1,tails,early,both_use,20,0.1453493646876,0.07127389093749387,0.21551433492977604
main,0.1,tails,early,d_to_e,20,0.10306815325197678,0.043741578376688676,0.15909251165501168
main,0.1,tails,early,firm_equal_resolved,20,-0.033551587301587284,-0.11749553571428568,0.05925669642857145
