period,group,cases,customer_users,domestic_use,customer_use,resolved,customer_success,first_customer,both_use,d_to_e,firm_equal_resolved,firms_observed,variant,dependence_mean,seed
late,high,20,9,0.8,0.45,0.55,0.2222222222222222,0.35,0.25,0.1,0.5511904761904761,3,no_objective,0.1,0
late,low_tail,15,8,0.7333333333333333,0.5333333333333333,0.4666666666666667,0.25,0.4,0.3333333333333333,0.13333333333333333,0.4444444444444444,2,no_objective,0.1,0
late,high_tail,15,6,0.7333333333333333,0.4,0.5333333333333333,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.5267857142857143,2,no_objective,0.1,0
early,all,41,24,0.8292682926829268,0.5853658536585366,0.43902439024390244,0.20833333333333334,0.4146341463414634,0.4146341463414634,0.17073170731707318,0.4533730158730158,6,no_objective,0.3,0
early,low,20,10,0.8,0.5,0.45,0.2,0.35,0.3,0.15,0.47222222222222215,3,no_objective,0.3,0
early,high,21,14,0.8571428571428571,0.6666666666666666,0.42857142857142855,0.21428571428571427,0.47619047619047616,0.5238095238095238,0.19047619047619047,0.43452380952380953,3,no_objective,0.3,0
early,low_tail,14,9,0.7142857142857143,0.6428571428571429,0.35714285714285715,0.2222222222222222,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.375,2,no_objective,0.3,0
early,high_tail,13,10,0.9230769230769231,0.7692307692307693,0.46153846153846156,0.2,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.4642857142857143,2,no_objective,0.3,0
late,all,43,25,0.7441860465116279,0.5813953488372093,0.5116279069767442,0.32,0.37209302325581395,0.32558139534883723,0.20930232558139536,0.5070767195767196,6,no_objective,0.3,0
late,low,23,13,0.8260869565217391,0.5652173913043478,0.43478260869565216,0.3076923076923077,0.30434782608695654,0.391304347826087,0.2608695652173913,0.4212962962962963,3,no_objective,0.3,0
late,high,20,12,0.65,0.6,0.6,0.3333333333333333,0.45,0.25,0.15,0.5928571428571429,3,no_objective,0.3,0
late,low_tail,15,9,0.7333333333333333,0.6,0.4666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.4444444444444444,2,no_objective,0.3,0
late,high_tail,15,9,0.6,0.6,0.6,0.3333333333333333,0.4666666666666667,0.2,0.13333333333333333,0.5892857142857143,2,no_objective,0.3,0
early,all,41,26,0.8048780487804879,0.6341463414634146,0.43902439024390244,0.23076923076923078,0.4634146341463415,0.43902439024390244,0.17073170731707318,0.4533730158730158,6,no_objective,0.5,0
early,low,20,13,0.75,0.65,0.45,0.23076923076923078,0.45,0.4,0.2,0.47222222222222215,3,no_objective,0.5,0
early,high,21,13,0.8571428571428571,0.6190476190476191,0.42857142857142855,0.23076923076923078,0.47619047619047616,0.47619047619047616,0.14285714285714285,0.43452380952380953,3,no_objective,0.5,0
early,low_tail,14,11,0.6428571428571429,0.7857142857142857,0.35714285714285715,0.2727272727272727,0.5714285714285714,0.42857142857142855,0.21428571428571427,0.375,2,no_objective,0.5,0
