time,firm,pressure,prevention,suppression,dependence
109,4,2.0,0.5350918703082563,0.42807349624660507,0.4162920712285151
109,5,3.0,0.7218324072179167,0.5774659257743334,0.506188904761806
110,0,1.0,0.2704277478678938,0.21634219829431506,0.47042565019858995
110,1,2.0,0.994448964282173,0.7955591714257384,0.5994915417836008
110,2,2.0,0.6210305238539533,0.49682441908316266,0.6
110,3,2.0,0.4199397689231842,0.3359518151385474,0.40760183202748823
110,4,2.0,0.5785903247380111,0.4628722597904089,0.4162920712285151
110,5,3.0,0.7774659257743335,0.6219727406194668,0.506188904761806
111,0,1.0,0.29442732833403307,0.23554186266722646,0.47042565019858995
111,1,2.0,0.9955591714257384,0.7964473371405907,0.5994915417836008
111,2,1.0,0.6008244190831626,0.48065953526653016,0.6
111,3,2.0,0.4829925479495427,0.3863940383596342,0.40760183202748823
111,4,2.0,0.6133890882818149,0.49071127062545195,0.4162920712285151
111,5,3.0,0.8219727406194668,0.6575781924955735,0.506188904761806
112,0,2.0,0.40771212274666246,0.32616969819733,0.47042565019858995
112,1,2.0,0.9964473371405906,0.7971578697124726,0.5994915417836008
112,2,1.0,0.5846595352665301,0.4677276282132241,0.6
