case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,cohort
206:12,206,3,12,13.0,13.0,16.0,15.0,18.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.46906376896801927,True,0.40760183202748823,15.0,18.0,no_remedy,,,94.0,95.0,1,1
214:12,214,2,12,15.0,18.0,15.0,20.0,17.0,,,,,closed_unresolved,closed_unresolved,,,0.0,e,closed_unresolved,0.6202544171834288,True,0.6,20.0,17.0,no_remedy,,,92.0,95.0,0,1
7:24,7,0,24,26.0,26.0,,28.0,,,,29.0,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.7465367480282052,True,0.47042565019858995,29.0,,remedy_supported,29.0,,81.0,83.0,2,2
19:24,19,5,24,26.0,,26.0,,28.0,,28.0,,29.0,unused,successful,29.0,e,1.0,e,resolved,0.4538665083047964,True,0.506188904761806,,29.0,,,3.0,3.0,5.0,2,2
22:24,22,1,24,24.0,27.0,24.0,29.0,26.0,,,30.0,,successful,closed_unresolved,30.0,d,1.0,e,resolved,0.814293066592382,True,0.5994915417836008,30.0,26.0,remedy_supported,30.0,6.0,6.0,6.0,0,2
24:24,24,0,24,24.0,24.0,36.0,26.0,38.0,,38.0,,39.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.987563597562557,True,0.47042565019858995,26.0,39.0,no_remedy,,,83.0,83.0,2,2
29:24,29,2,24,28.0,28.0,88.0,30.0,90.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.4019165154415846,True,0.6,30.0,90.0,no_remedy,,,79.0,83.0,0,2
54:24,54,4,24,27.0,27.0,30.0,29.0,32.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.8851786134215318,True,0.4162920712285151,29.0,32.0,no_remedy,,,80.0,83.0,1,2
86:24,86,1,24,26.0,37.0,26.0,39.0,28.0,,,40.0,,successful,closed_unresolved,40.0,d,1.0,e,resolved,0.9597185618280852,True,0.5994915417836008,40.0,28.0,remedy_supported,40.0,14.0,14.0,16.0,0,2
109:24,109,3,24,27.0,27.0,,29.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.8508497976451543,True,0.40760183202748823,29.0,,no_remedy,,,80.0,83.0,1,2
117:24,117,1,24,27.0,27.0,30.0,29.0,32.0,,32.0,,33.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.6172750821936452,True,0.5994915417836008,29.0,33.0,no_remedy,,,80.0,83.0,0,2
131:24,131,5,24,26.0,,26.0,,28.0,,28.0,,29.0,unused,closed_unresolved,,,0.0,e,closed_unresolved,0.9973810806458232,True,0.506188904761806,,29.0,,,,81.0,83.0,2,2
