seed,policy,domestic_capacity,active_customers,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds,domestic_use,customer_use,first_d_all,first_e_all,first_both_all,never_submitted,d_to_e_count,e_to_d_count,d_to_e_all,e_to_d_all,d_to_e_conditional,e_to_d_conditional,both_use,resolved_share,d_eligible_rounds,e_eligible_rounds
13,equal,2,1,44,0,0,0,0,0,0,48,0,0,48,0,0,0,0,0,0,0,40,88,88,0,0,88,86,67,65,0.7613636363636364,0.7613636363636364,0.9772727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.704225352112676,11.5,0.22388059701492538,0.47761194029850745,0.45,0.0,0.5842612870978953,0.5079217266619938,0.5454545454545454,0.5454545454545454,0.5223880597014925,20.625,19.0,2985,1906,0.9772727272727273,0.7613636363636364,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,50,10,0.5681818181818182,0.11363636363636363,0.704225352112676,0.8333333333333334,0.7386363636363636,0.45454545454545453,1541,384
13,degree,2,6,44,0,0,0,0,0,0,44,0,0,44,0,0,0,0,0,0,0,44,88,88,0,0,88,82,64,58,0.7272727272727273,0.7272727272727273,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.74468085106383,0.28125,0.53125,0.5161290322580645,0.0,0.594758987806238,0.5068119210089839,0.5,0.5,0.46875,16.5,13.0,2706,1665,0.9318181818181818,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,6,0.5340909090909091,0.06818181818181818,0.6619718309859155,0.5,0.6590909090909091,0.5,1415,8
13,degree,2,3,44,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,43,88,88,0,0,88,82,64,58,0.7272727272727273,0.7272727272727273,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.787234042553191,0.296875,0.53125,0.5161290322580645,0.0,0.594758987806238,0.5068119210089839,0.5113636363636364,0.5113636363636364,0.46875,15.348837209302326,12.0,2685,1629,0.9318181818181818,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,6,0.5340909090909091,0.06818181818181818,0.6619718309859155,0.5,0.6590909090909091,0.48863636363636365,1380,5
13,degree,2,1,44,0,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,42,88,88,0,0,88,83,64,59,0.7272727272727273,0.7272727272727273,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.829787234042554,0.28125,0.515625,0.5,0.0,0.594758987806238,0.5068119210089839,0.5227272727272727,0.5227272727272727,0.484375,15.642857142857142,12.5,2727,1663,0.9431818181818182,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,7,0.5340909090909091,0.07954545454545454,0.6619718309859155,0.5833333333333334,0.6704545454545454,0.4772727272727273,1411,5
13,pooled,2,6,44,0,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,42,88,88,0,0,88,83,64,59,0.7272727272727273,0.7272727272727273,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.829787234042554,0.28125,0.515625,0.5,0.0,0.594758987806238,0.5068119210089839,0.5227272727272727,0.5227272727272727,0.484375,15.642857142857142,12.5,2727,1663,0.9431818181818182,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,7,0.5340909090909091,0.07954545454545454,0.6619718309859155,0.5833333333333334,0.6704545454545454,0.4772727272727273,1411,5
13,pooled,2,3,44,0,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,42,88,88,0,0,88,83,64,59,0.7272727272727273,0.7272727272727273,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.829787234042554,0.28125,0.515625,0.5,0.0,0.594758987806238,0.5068119210089839,0.5227272727272727,0.5227272727272727,0.484375,15.642857142857142,12.5,2727,1663,0.9431818181818182,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,7,0.5340909090909091,0.07954545454545454,0.6619718309859155,0.5833333333333334,0.6704545454545454,0.4772727272727273,1411,5
13,pooled,2,1,44,0,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,42,88,88,0,0,88,83,64,59,0.7272727272727273,0.7272727272727273,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.6619718309859155,10.829787234042554,0.28125,0.515625,0.5,0.0,0.594758987806238,0.5068119210089839,0.5227272727272727,0.5227272727272727,0.484375,15.642857142857142,12.5,2727,1663,0.9431818181818182,0.7272727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,47,7,0.5340909090909091,0.07954545454545454,0.6619718309859155,0.5833333333333334,0.6704545454545454,0.4772727272727273,1411,5
13,equal,6,6,44,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,43,88,88,0,0,88,82,56,50,0.6363636363636364,0.6363636363636364,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5492957746478874,8.64102564102564,0.26785714285714285,0.44642857142857145,0.42857142857142855,0.0,0.6055067460986646,0.5109912675098006,0.5113636363636364,0.5113636363636364,0.5535714285714286,8.744186046511627,8.0,2401,780,0.9318181818181818,0.6363636363636364,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,39,6,0.4431818181818182,0.06818181818181818,0.5492957746478874,0.5,0.5681818181818182,0.48863636363636365,488,9
13,equal,6,3,44,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,43,88,88,0,0,88,84,56,52,0.6363636363636364,0.6363636363636364,0.9545454545454546,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5492957746478874,8.820512820512821,0.26785714285714285,0.44642857142857145,0.48214285714285715,0.0,0.6055067460986646,0.5109912675098006,0.5113636363636364,0.5113636363636364,0.5535714285714286,9.209302325581396,8.0,2421,809,0.9545454545454546,0.6363636363636364,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,39,8,0.4431818181818182,0.09090909090909091,0.5492957746478874,0.6666666666666666,0.5909090909090909,0.48863636363636365,503,20
13,equal,6,1,44,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,38,88,88,0,0,88,86,59,57,0.6704545454545454,0.6704545454545454,0.9772727272727273,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5915492957746479,8.952380952380953,0.2033898305084746,0.3728813559322034,0.4074074074074074,0.0,0.5874363658911145,0.5088996886327363,0.5681818181818182,0.5681818181818182,0.6271186440677966,11.131578947368421,9.5,2673,1119,0.9772727272727273,0.6704545454545454,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,42,10,0.4772727272727273,0.11363636363636363,0.5915492957746479,0.8333333333333334,0.6477272727272727,0.4318181818181818,503,371
13,degree,6,6,44,0,0,0,0,0,0,45,0,0,45,0,0,0,0,0,0,0,43,88,88,0,0,88,82,56,50,0.6363636363636364,0.6363636363636364,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5492957746478874,8.64102564102564,0.26785714285714285,0.44642857142857145,0.42857142857142855,0.0,0.6055067460986646,0.5109912675098006,0.5113636363636364,0.5113636363636364,0.5535714285714286,8.744186046511627,8.0,2401,780,0.9318181818181818,0.6363636363636364,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,39,6,0.4431818181818182,0.06818181818181818,0.5492957746478874,0.5,0.5681818181818182,0.48863636363636365,488,9
13,degree,6,3,44,0,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,42,88,88,0,0,88,82,54,48,0.6136363636363636,0.6136363636363636,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5211267605633803,8.54054054054054,0.25925925925925924,0.4074074074074074,0.41509433962264153,0.0,0.5986147445883205,0.5098653535510406,0.5227272727272727,0.5227272727272727,0.5925925925925926,8.047619047619047,7.0,2408,763,0.9318181818181818,0.6136363636363636,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,37,6,0.42045454545454547,0.06818181818181818,0.5211267605633803,0.5,0.5454545454545454,0.4772727272727273,476,5
13,degree,6,1,44,0,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,41,88,88,0,0,88,83,54,49,0.6136363636363636,0.6136363636363636,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5211267605633803,8.567567567567568,0.24074074074074073,0.3888888888888889,0.39622641509433965,0.0,0.5986147445883205,0.5098653535510406,0.5340909090909091,0.5340909090909091,0.6111111111111112,8.170731707317072,7.0,2450,773,0.9431818181818182,0.6136363636363636,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,37,7,0.42045454545454547,0.07954545454545454,0.5211267605633803,0.5833333333333334,0.5568181818181818,0.4659090909090909,484,5
13,pooled,6,6,44,0,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,41,88,88,0,0,88,83,54,49,0.6136363636363636,0.6136363636363636,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5211267605633803,8.567567567567568,0.24074074074074073,0.3888888888888889,0.39622641509433965,0.0,0.5986147445883205,0.5098653535510406,0.5340909090909091,0.5340909090909091,0.6111111111111112,8.170731707317072,7.0,2450,773,0.9431818181818182,0.6136363636363636,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,37,7,0.42045454545454547,0.07954545454545454,0.5211267605633803,0.5833333333333334,0.5568181818181818,0.4659090909090909,484,5
13,pooled,6,3,44,0,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,41,88,88,0,0,88,83,54,49,0.6136363636363636,0.6136363636363636,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5211267605633803,8.567567567567568,0.24074074074074073,0.3888888888888889,0.39622641509433965,0.0,0.5986147445883205,0.5098653535510406,0.5340909090909091,0.5340909090909091,0.6111111111111112,8.170731707317072,7.0,2450,773,0.9431818181818182,0.6136363636363636,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,37,7,0.42045454545454547,0.07954545454545454,0.5211267605633803,0.5833333333333334,0.5568181818181818,0.4659090909090909,484,5
13,pooled,6,1,44,0,0,0,0,0,0,47,0,0,47,0,0,0,0,0,0,0,41,88,88,0,0,88,83,54,49,0.6136363636363636,0.6136363636363636,0.9431818181818182,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5211267605633803,8.567567567567568,0.24074074074074073,0.3888888888888889,0.39622641509433965,0.0,0.5986147445883205,0.5098653535510406,0.5340909090909091,0.5340909090909091,0.6111111111111112,8.170731707317072,7.0,2450,773,0.9431818181818182,0.6136363636363636,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,37,7,0.42045454545454547,0.07954545454545454,0.5211267605633803,0.5833333333333334,0.5568181818181818,0.4659090909090909,484,5
13,equal,12,6,44,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,0,0,50,88,88,0,0,88,82,55,49,0.625,0.625,0.9318181818181818,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,0.5352112676056338,5.894736842105263,0.2727272727272727,0.4727272727272727,0.52,0.0,0.5819110396481286,0.5117180744294513,0.4318181818181818,0.4318181818181818,0.5272727272727272,6.02,6.0,2011,540,0.9318181818181818,0.625,0.8068181818181818,0.13636363636363635,0.056818181818181816,0.0,38,6,0.4318181818181818,0.06818181818181818,0.5352112676056338,0.5,0.5568181818181818,0.5681818181818182,215,13
