firm,has_customer,dependence,variant,dependence_mean,seed,high
0,False,0.6542424449593061,limited_access,0.7,1,False
1,True,0.7719954997806675,limited_access,0.7,1,True
2,True,0.6,limited_access,0.7,1,False
3,True,0.7944756707744032,limited_access,0.7,1,True
4,True,0.637450811411562,limited_access,0.7,1,False
5,True,0.7418355730740611,limited_access,0.7,1,True
0,False,0.8542424449593061,limited_access,0.9,1,False
1,True,0.9719954997806675,limited_access,0.9,1,True
2,True,0.8,limited_access,0.9,1,False
3,True,0.9944756707744031,limited_access,0.9,1,True
4,True,0.8374508114115621,limited_access,0.9,1,False
5,True,0.9418355730740613,limited_access,0.9,1,True
