variant,dependence_mean,group,period,metric,n,mean,low,high
limited_access,0.5,high_tail,late,domestic_use,2,0.6333333333333333,0.6,0.6666666666666666
limited_access,0.5,high_tail,late,customer_use,2,0.5666666666666667,0.4666666666666667,0.6666666666666666
limited_access,0.5,high_tail,late,resolved,2,0.5222222222222221,0.4444444444444444,0.6
limited_access,0.5,high_tail,late,customer_success,2,0.5476190476190476,0.4285714285714285,0.6666666666666666
limited_access,0.5,high_tail,late,first_customer,2,0.3666666666666667,0.3333333333333333,0.4
limited_access,0.5,high_tail,late,both_use,2,0.2333333333333333,0.1333333333333333,0.3333333333333333
limited_access,0.5,high_tail,late,d_to_e,2,0.19999999999999996,0.0666666666666666,0.3333333333333333
limited_access,0.5,high_tail,late,firm_equal_resolved,2,0.5241071428571429,0.45,0.5982142857142857
limited_access,0.5,low,early,domestic_use,2,0.825,0.8,0.85
limited_access,0.5,low,early,customer_use,2,0.55,0.45,0.65
limited_access,0.5,low,early,resolved,2,0.42500000000000004,0.4,0.45
limited_access,0.5,low,early,customer_success,2,0.24358974358974356,0.1538461538461538,0.3333333333333333
limited_access,0.5,low,early,first_customer,2,0.35,0.25,0.45
limited_access,0.5,low,early,both_use,2,0.375,0.3,0.45
limited_access,0.5,low,early,d_to_e,2,0.2,0.2,0.2
limited_access,0.5,low,early,firm_equal_resolved,2,0.45138888888888884,0.4305555555555555,0.4722222222222221
limited_access,0.5,low,late,domestic_use,2,0.857487922705314,0.8260869565217391,0.8888888888888888
limited_access,0.5,low,late,customer_use,2,0.6038647342995169,0.5555555555555556,0.6521739130434783
limited_access,0.5,low,late,resolved,2,0.4118357487922705,0.3888888888888889,0.4347826086956521
limited_access,0.5,low,late,customer_success,2,0.1833333333333333,0.1,0.2666666666666666
limited_access,0.5,low,late,first_customer,2,0.3840579710144927,0.3333333333333333,0.4347826086956521
limited_access,0.5,low,late,both_use,2,0.4891304347826087,0.4782608695652174,0.5
limited_access,0.5,low,late,d_to_e,2,0.1980676328502415,0.1739130434782608,0.2222222222222222
limited_access,0.5,low,late,firm_equal_resolved,2,0.4027116402116402,0.3841269841269841,0.4212962962962963
limited_access,0.5,low_tail,early,domestic_use,2,0.75,0.7142857142857143,0.7857142857142857
limited_access,0.5,low_tail,early,customer_use,2,0.7142857142857143,0.6428571428571429,0.7857142857142857
limited_access,0.5,low_tail,early,resolved,2,0.39285714285714285,0.2857142857142857,0.5
limited_access,0.5,low_tail,early,customer_success,2,0.25757575757575757,0.1818181818181818,0.3333333333333333
limited_access,0.5,low_tail,early,first_customer,2,0.46428571428571425,0.3571428571428571,0.5714285714285714
limited_access,0.5,low_tail,early,both_use,2,0.46428571428571425,0.4285714285714285,0.5
limited_access,0.5,low_tail,early,d_to_e,2,0.24999999999999994,0.2142857142857142,0.2857142857142857
limited_access,0.5,low_tail,early,firm_equal_resolved,2,0.42708333333333337,0.3125,0.5416666666666667
limited_access,0.5,low_tail,late,domestic_use,2,0.7833333333333333,0.7333333333333333,0.8333333333333334
limited_access,0.5,low_tail,late,customer_use,2,0.75,0.6666666666666666,0.8333333333333334
limited_access,0.5,low_tail,late,resolved,2,0.35833333333333334,0.25,0.4666666666666667
limited_access,0.5,low_tail,late,customer_success,2,0.2,0.1,0.3
limited_access,0.5,low_tail,late,first_customer,2,0.48333333333333334,0.4666666666666667,0.5
limited_access,0.5,low_tail,late,both_use,2,0.575,0.4,0.75
limited_access,0.5,low_tail,late,d_to_e,2,0.26666666666666666,0.2,0.3333333333333333
limited_access,0.5,low_tail,late,firm_equal_resolved,2,0.3436507936507936,0.2428571428571428,0.4444444444444444
limited_access,0.7,all,early,domestic_use,2,0.8193960511033682,0.8095238095238095,0.8292682926829268
limited_access,0.7,all,early,customer_use,2,0.6146922183507549,0.5952380952380952,0.6341463414634146
limited_access,0.7,all,early,resolved,2,0.4581881533101045,0.4285714285714285,0.4878048780487805
limited_access,0.7,all,early,customer_success,2,0.2746153846153846,0.2692307692307692,0.28
limited_access,0.7,all,early,first_customer,2,0.4224738675958188,0.3571428571428571,0.4878048780487805
limited_access,0.7,all,early,both_use,2,0.4340882694541231,0.4047619047619047,0.4634146341463415
limited_access,0.7,all,early,d_to_e,2,0.19221835075493604,0.1463414634146341,0.238095238095238
limited_access,0.7,all,early,firm_equal_resolved,2,0.46478174603174605,0.431547619047619,0.498015873015873
limited_access,0.7,all,late,domestic_use,2,0.7435215946843854,0.7428571428571429,0.7441860465116279
limited_access,0.7,all,late,customer_use,2,0.6102990033222591,0.5348837209302325,0.6857142857142857
limited_access,0.7,all,late,resolved,2,0.45847176079734214,0.4285714285714285,0.4883720930232558
limited_access,0.7,all,late,customer_success,2,0.3188405797101449,0.3043478260869565,0.3333333333333333
limited_access,0.7,all,late,first_customer,2,0.47807308970099666,0.4418604651162791,0.5142857142857142
limited_access,0.7,all,late,both_use,2,0.37973421926910295,0.3023255813953488,0.4571428571428571
limited_access,0.7,all,late,d_to_e,2,0.12059800664451825,0.0697674418604651,0.1714285714285714
limited_access,0.7,all,late,firm_equal_resolved,2,0.4504960317460318,0.4170634920634921,0.4839285714285715
limited_access,0.7,high,early,domestic_use,2,0.8149350649350648,0.7727272727272727,0.8571428571428571
limited_access,0.7,high,early,customer_use,2,0.6255411255411256,0.5238095238095238,0.7272727272727273
limited_access,0.7,high,early,resolved,2,0.4426406926406926,0.4090909090909091,0.4761904761904761
limited_access,0.7,high,early,customer_success,2,0.26136363636363635,0.25,0.2727272727272727
limited_access,0.7,high,early,first_customer,2,0.4415584415584415,0.4285714285714285,0.4545454545454545
limited_access,0.7,high,early,both_use,2,0.44047619047619047,0.3809523809523809,0.5
limited_access,0.7,high,early,d_to_e,2,0.18398268398268397,0.0952380952380952,0.2727272727272727
limited_access,0.7,high,early,firm_equal_resolved,2,0.44345238095238093,0.4047619047619047,0.4821428571428571
limited_access,0.7,high,late,domestic_use,2,0.6779411764705883,0.65,0.7058823529411765
limited_access,0.7,high,late,customer_use,2,0.6323529411764706,0.5,0.7647058823529411
limited_access,0.7,high,late,resolved,2,0.5102941176470588,0.4705882352941176,0.55
limited_access,0.7,high,late,customer_success,2,0.38076923076923075,0.3,0.4615384615384615
limited_access,0.7,high,late,first_customer,2,0.4897058823529412,0.45,0.5294117647058824
limited_access,0.7,high,late,both_use,2,0.3352941176470588,0.2,0.4705882352941176
limited_access,0.7,high,late,d_to_e,2,0.1426470588235294,0.05,0.2352941176470588
limited_access,0.7,high,late,firm_equal_resolved,2,0.5005952380952381,0.45,0.5511904761904761
