block,seed,channel,total,loss,gain,loss_resolved_other,loss_still_unresolved,net_share
network_ba,16,d,81,1,0,1,0,-0.012345679012345678
network_ba,16,e,81,11,0,8,3,-0.13580246913580246
network_ba,17,d,85,1,0,1,0,-0.011764705882352941
network_ba,17,e,85,12,1,11,1,-0.12941176470588237
network_ba,18,d,71,1,0,1,0,-0.014084507042253521
network_ba,18,e,71,12,0,10,2,-0.16901408450704225
network_ba,19,d,75,0,0,0,0,0.0
network_ba,19,e,75,19,0,17,2,-0.25333333333333335
population_double,0,d,154,2,0,2,0,-0.012987012987012988
population_double,0,e,154,35,1,28,7,-0.22077922077922077
population_double,1,d,146,3,0,3,0,-0.02054794520547945
population_double,1,e,146,26,0,21,5,-0.1780821917808219
population_double,2,d,156,2,0,2,0,-0.01282051282051282
population_double,2,e,156,26,0,21,5,-0.16666666666666666
population_double,3,d,132,3,0,3,0,-0.022727272727272728
population_double,3,e,132,20,0,16,4,-0.15151515151515152
population_double,4,d,160,0,0,0,0,0.0
population_double,4,e,160,26,0,23,3,-0.1625
population_double,5,d,149,4,0,4,0,-0.026845637583892617
population_double,5,e,149,26,0,17,9,-0.174496644295302
population_double,6,d,144,5,0,5,0,-0.034722222222222224
population_double,6,e,144,22,0,15,7,-0.1527777777777778
population_double,7,d,164,3,0,3,0,-0.018292682926829267
population_double,7,e,164,28,0,26,2,-0.17073170731707318
population_double,8,d,162,1,0,1,0,-0.006172839506172839
population_double,8,e,162,24,0,20,4,-0.14814814814814814
population_double,9,d,144,3,0,3,0,-0.020833333333333332
population_double,9,e,144,25,0,23,2,-0.1736111111111111
population_double,10,d,156,3,0,3,0,-0.019230769230769232
population_double,10,e,156,26,0,22,4,-0.16666666666666666
population_double,11,d,146,2,0,2,0,-0.0136986301369863
population_double,11,e,146,19,0,17,2,-0.13013698630136986
population_double,12,d,147,4,0,4,0,-0.027210884353741496
population_double,12,e,147,28,0,20,8,-0.19047619047619047
population_double,13,d,166,3,0,3,0,-0.018072289156626505
population_double,13,e,166,36,0,30,6,-0.21686746987951808
population_double,14,d,147,5,0,5,0,-0.034013605442176874
population_double,14,e,147,24,1,21,3,-0.1564625850340136
population_double,15,d,142,2,0,2,0,-0.014084507042253521
population_double,15,e,142,22,0,21,1,-0.15492957746478872
population_double,16,d,153,5,0,5,0,-0.032679738562091505
population_double,16,e,153,19,0,12,7,-0.12418300653594772
population_double,17,d,153,3,0,3,0,-0.0196078431372549
population_double,17,e,153,16,0,15,1,-0.10457516339869281
population_double,18,d,166,3,0,3,0,-0.018072289156626505
population_double,18,e,166,46,1,38,8,-0.2710843373493976
population_double,19,d,165,2,0,2,0,-0.012121212121212121
population_double,19,e,165,44,0,39,5,-0.26666666666666666
horizon_double,0,d,69,0,0,0,0,0.0
horizon_double,0,e,69,17,0,15,2,-0.2463768115942029
horizon_double,1,d,81,1,0,1,0,-0.012345679012345678
horizon_double,1,e,81,13,0,10,3,-0.16049382716049382
horizon_double,2,d,75,0,0,0,0,0.0
horizon_double,2,e,75,14,1,14,0,-0.17333333333333334
horizon_double,3,d,84,4,0,4,0,-0.047619047619047616
horizon_double,3,e,84,15,0,13,2,-0.17857142857142858
horizon_double,4,d,82,2,0,2,0,-0.024390243902439025
horizon_double,4,e,82,7,0,6,1,-0.08536585365853659
horizon_double,5,d,85,1,0,1,0,-0.011764705882352941
horizon_double,5,e,85,14,0,11,3,-0.16470588235294117
horizon_double,6,d,86,1,0,1,0,-0.011627906976744186
horizon_double,6,e,86,21,0,15,6,-0.2441860465116279
horizon_double,7,d,84,0,0,0,0,0.0
horizon_double,7,e,84,16,0,11,5,-0.19047619047619047
horizon_double,8,d,71,0,0,0,0,0.0
horizon_double,8,e,71,13,0,11,2,-0.18309859154929578
horizon_double,9,d,64,1,0,1,0,-0.015625
horizon_double,9,e,64,9,0,9,0,-0.140625
horizon_double,10,d,77,0,0,0,0,0.0
horizon_double,10,e,77,12,0,10,2,-0.15584415584415584
horizon_double,11,d,75,0,0,0,0,0.0
horizon_double,11,e,75,6,0,5,1,-0.08
horizon_double,12,d,77,1,0,1,0,-0.012987012987012988
horizon_double,12,e,77,18,0,14,4,-0.23376623376623376
horizon_double,13,d,88,6,0,6,0,-0.06818181818181818
horizon_double,13,e,88,14,0,14,0,-0.1590909090909091
horizon_double,14,d,69,2,0,2,0,-0.028985507246376812
