scenario,contrast,metric,n,mean,low,high
none_r0.0_f1,shock_difference_in_changes,domestic_use,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,customer_use,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,both_use,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,first_customer,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,d_to_e,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,resolved,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,unresolved,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,potential,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,blocked,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,prevented,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,mean_prevention,2,0.0,0.0,0.0
none_r0.0_f1,shock_difference_in_changes,knowledge_share,2,0.0,0.0,0.0
none_r0.6_f0,late_minus_before,cases,2,-0.5,-11.0,10.0
none_r0.6_f0,late_minus_early_after,cases,2,3.0,0.0,6.0
none_r0.6_f0,late_minus_before,customer_users,2,4.0,2.0,6.0
none_r0.6_f0,late_minus_early_after,customer_users,2,10.0,8.0,12.0
none_r0.6_f0,late_minus_before,customer_employees,2,5.0,4.0,6.0
none_r0.6_f0,late_minus_early_after,customer_employees,2,9.0,5.0,13.0
none_r0.6_f0,late_minus_before,domestic_use,2,-0.025021208727815714,-0.027272727272727337,-0.02276969018290409
none_r0.6_f0,late_minus_early_after,domestic_use,2,-0.11721315320386527,-0.15909090909090906,-0.07533539731682148
none_r0.6_f0,late_minus_before,customer_use,2,0.07927143778207607,-0.014184397163120588,0.17272727272727273
none_r0.6_f0,late_minus_early_after,customer_use,2,0.1755793226381461,0.07843137254901955,0.27272727272727265
none_r0.6_f0,late_minus_before,both_use,2,0.0565229563269877,-0.03695408734602468,0.15000000000000008
none_r0.6_f0,late_minus_early_after,both_use,2,0.04700253307064456,0.0030959752321981227,0.090909090909091
none_r0.6_f0,late_minus_before,first_customer,2,0.1268519461128643,0.1082493467711832,0.1454545454545454
none_r0.6_f0,late_minus_early_after,first_customer,2,0.1714161741251524,0.1382868937048503,0.20454545454545447
none_r0.6_f0,late_minus_before,d_to_e,2,-0.03921493773117518,-0.10115714818962307,0.022727272727272707
