scenario,population,metric,contrast,n,mean,low,high
grid_r0.4_c0.5,all,customer_only,late,2,0.10631229235880398,0.0697674418604651,0.14285714285714285
grid_r0.4_c0.5,all,customer_only,change,2,0.03401264079085977,-0.0034032898468519257,0.07142857142857147
grid_r0.4_c0.5,all,customer_only,late_minus_base,2,-0.09568106312292356,-0.1627906976744186,-0.028571428571428525
grid_r0.4_c0.5,all,both_use,late,2,0.30199335548172757,0.2325581395348837,0.37142857142857144
grid_r0.4_c0.5,all,both_use,change,2,0.02557059125408534,0.013045944412932553,0.038095238095238126
grid_r0.4_c0.5,all,both_use,late_minus_base,2,-0.1009966777408638,-0.1162790697674419,-0.08571428571428569
grid_r0.4_c0.5,all,no_submission,late,2,0.04916943521594682,0.02857142857142854,0.0697674418604651
grid_r0.4_c0.5,all,no_submission,change,2,0.01287442940874593,0.004761904761904766,0.020986954055587093
grid_r0.4_c0.5,all,no_submission,late_minus_base,2,0.023255813953488365,0.0,0.04651162790697673
grid_r0.4_c0.5,all,d_to_e,late,2,0.0634551495016611,0.057142857142857106,0.0697674418604651
grid_r0.4_c0.5,all,d_to_e,change,2,0.015836101882613494,-0.03809523809523811,0.0697674418604651
grid_r0.4_c0.5,all,d_to_e,late_minus_base,2,-0.12059800664451828,-0.17142857142857146,-0.0697674418604651
grid_r0.4_c0.5,all,e_to_d,late,2,0.18936877076411956,0.09302325581395346,0.2857142857142857
grid_r0.4_c0.5,all,e_to_d,change,2,-0.01562542203495121,-0.12648893930799768,0.09523809523809526
grid_r0.4_c0.5,all,e_to_d,late_minus_base,2,-0.017940199335548176,-0.09302325581395349,0.057142857142857134
grid_r0.4_c0.5,all,resolved,late,2,0.38073089700996676,0.3428571428571428,0.4186046511627907
grid_r0.4_c0.5,all,resolved,change,2,0.007327877265483618,-0.038095238095238126,0.05275099262620536
grid_r0.4_c0.5,all,resolved,late_minus_base,2,-0.08936877076411961,-0.09302325581395349,-0.08571428571428574
grid_r0.4_c0.5,both_reachable,domestic_use,late,2,0.7596153846153846,0.75,0.7692307692307693
grid_r0.4_c0.5,both_reachable,domestic_use,change,2,-0.041666666666666685,-0.08333333333333337,0.0
grid_r0.4_c0.5,both_reachable,domestic_use,late_minus_base,2,0.028133903133903182,0.0092592592592593,0.047008547008547064
grid_r0.4_c0.5,both_reachable,customer_use,late,2,0.95,0.9,1.0
grid_r0.4_c0.5,both_reachable,customer_use,change,2,0.016239316239316237,-0.0444444444444444,0.07692307692307687
grid_r0.4_c0.5,both_reachable,customer_use,late_minus_base,2,0.19537037037037042,0.08518518518518525,0.3055555555555556
grid_r0.4_c0.5,both_reachable,customer_minus_domestic,late,2,0.1903846153846154,0.15,0.2307692307692308
grid_r0.4_c0.5,both_reachable,customer_minus_domestic,change,2,0.05790598290598292,0.03888888888888889,0.07692307692307696
grid_r0.4_c0.5,both_reachable,customer_minus_domestic,late_minus_base,2,0.16723646723646726,0.07592592592592595,0.25854700854700857
grid_r0.4_c0.5,both_reachable,first_d,late,2,0.21538461538461537,0.2,0.23076923076923073
grid_r0.4_c0.5,both_reachable,first_d,change,2,0.03803418803418804,-0.07777777777777778,0.15384615384615385
grid_r0.4_c0.5,both_reachable,first_d,late_minus_base,2,-0.24294871794871795,-0.2444444444444444,-0.24145299145299148
grid_r0.4_c0.5,both_reachable,first_e,late,2,0.6442307692307692,0.5384615384615384,0.75
grid_r0.4_c0.5,both_reachable,first_e,change,2,-0.12286324786324793,-0.3846153846153847,0.13888888888888884
grid_r0.4_c0.5,both_reachable,first_e,late_minus_base,2,0.13497150997150997,0.038461538461538436,0.2314814814814815
grid_r0.4_c0.5,both_reachable,first_both,late,2,0.14038461538461536,0.05,0.23076923076923073
grid_r0.4_c0.5,both_reachable,first_both,change,2,0.0848290598290598,-0.0611111111111111,0.23076923076923073
grid_r0.4_c0.5,both_reachable,first_both,late_minus_base,2,0.1264957264957265,0.05,0.20299145299145296
grid_r0.4_c0.5,both_reachable,domestic_only,late,2,0.05,0.0,0.1
grid_r0.4_c0.5,both_reachable,domestic_only,change,2,-0.016239316239316216,-0.07692307692307689,0.04444444444444445
grid_r0.4_c0.5,both_reachable,domestic_only,late_minus_base,2,-0.17685185185185184,-0.3055555555555556,-0.04814814814814811
grid_r0.4_c0.5,both_reachable,customer_only,late,2,0.24038461538461536,0.23076923076923073,0.25
grid_r0.4_c0.5,both_reachable,customer_only,change,2,0.04166666666666667,0.0,0.08333333333333334
grid_r0.4_c0.5,both_reachable,customer_only,late_minus_base,2,-0.009615384615384609,-0.047008547008547064,0.027777777777777846
grid_r0.4_c0.5,both_reachable,both_use,late,2,0.7096153846153846,0.65,0.7692307692307693
grid_r0.4_c0.5,both_reachable,both_use,change,2,-0.025427350427350393,-0.12777777777777777,0.07692307692307698
grid_r0.4_c0.5,both_reachable,both_use,late_minus_base,2,0.20498575498575508,0.05740740740740746,0.3525641025641027
grid_r0.4_c0.5,both_reachable,no_submission,late,2,0.0,0.0,0.0
grid_r0.4_c0.5,both_reachable,no_submission,change,2,0.0,0.0,0.0
grid_r0.4_c0.5,both_reachable,no_submission,late_minus_base,2,-0.01851851851851851,-0.03703703703703702,0.0
grid_r0.4_c0.5,both_reachable,d_to_e,late,2,0.16538461538461535,0.1,0.23076923076923073
grid_r0.4_c0.5,both_reachable,d_to_e,change,2,0.05427350427350426,-0.1222222222222222,0.23076923076923073
