time,expected_wait_d,expected_wait_e,scenario,seed
55,2.886875,2.881875,wait_no_outcomes,0
56,2.8921577380952384,2.8939880952380954,wait_no_outcomes,0
57,2.9013244047619047,2.9032589285714283,wait_no_outcomes,0
58,2.9079166666666665,2.907425595238095,wait_no_outcomes,0
59,2.9079166666666665,2.9271874999999996,wait_no_outcomes,0
60,2.9321875,2.947083333333333,wait_no_outcomes,0
61,2.9315625,2.9459375,wait_no_outcomes,0
62,2.9208333333333334,2.9451041666666664,wait_no_outcomes,0
63,2.9205208333333332,2.9607291666666664,wait_no_outcomes,0
64,2.9639583333333333,2.966145833333333,wait_no_outcomes,0
65,2.9639583333333333,2.9854166666666666,wait_no_outcomes,0
0,3.0,3.0,followup_12,0
1,3.0,3.0,followup_12,0
2,3.0,3.0,followup_12,0
3,3.0,3.0,followup_12,0
4,3.0,3.0,followup_12,0
5,3.0,3.0,followup_12,0
6,3.0,3.0,followup_12,0
7,3.0,3.0,followup_12,0
8,3.0,3.0,followup_12,0
9,3.0,3.0,followup_12,0
10,3.0,3.0,followup_12,0
11,3.0,3.0,followup_12,0
12,3.0,3.0,followup_12,0
13,3.0,3.0,followup_12,0
14,3.0,3.0,followup_12,0
15,3.0,3.0,followup_12,0
16,3.0,3.0,followup_12,0
17,3.0,3.0,followup_12,0
18,3.0,3.0,followup_12,0
19,3.0,3.0,followup_12,0
20,3.0,3.0,followup_12,0
21,3.0,3.0,followup_12,0
22,3.0,3.0,followup_12,0
23,3.0,3.0,followup_12,0
24,3.0,3.0,followup_12,0
25,3.0,3.0,followup_12,0
26,3.0,3.0,followup_12,0
27,3.0,3.0,followup_12,0
28,3.0,3.0,followup_12,0
29,3.0,3.0,followup_12,0
30,3.0,3.0,followup_12,0
31,3.0,3.0,followup_12,0
32,3.0,3.0,followup_12,0
33,3.0,3.0,followup_12,0
34,3.0,3.0,followup_12,0
35,3.0,3.0,followup_12,0
36,3.0,3.0,followup_12,0
37,3.0,3.0,followup_12,0
38,3.0,3.0,followup_12,0
39,3.0,3.0,followup_12,0
40,3.0,3.0,followup_12,0
41,3.0,3.0,followup_12,0
42,3.0,3.0,followup_12,0
43,3.0,3.0,followup_12,0
44,3.0,3.0,followup_12,0
45,3.0,3.0,followup_12,0
