scenario,seed,population,period,domestic_use,customer_use,customer_minus_domestic,first_d,first_e,first_both,domestic_only,customer_only,both_use,no_submission,d_to_e,e_to_d,resolved
grid_r0.7_c0.5,1,all,early,0.8571428571428571,0.7380952380952381,-0.11904761904761903,0.4523809523809524,0.47619047619047616,0.07142857142857138,0.26190476190476186,0.14285714285714282,0.5952380952380952,0.0,0.19047619047619044,0.3333333333333333,0.4523809523809524
grid_r0.7_c0.5,1,all,late,0.8857142857142857,0.6571428571428571,-0.2285714285714285,0.4,0.5714285714285714,0.028571428571428567,0.34285714285714286,0.11428571428571428,0.5428571428571428,0.0,0.057142857142857106,0.45714285714285713,0.45714285714285713
grid_r0.7_c0.5,1,both_reachable,early,0.8181818181818182,0.9393939393939394,0.12121212121212109,0.30303030303030304,0.6060606060606061,0.09090909090909086,0.06060606060606061,0.18181818181818177,0.7575757575757576,0.0,0.2424242424242424,0.42424242424242425,0.48484848484848486
grid_r0.7_c0.5,1,both_reachable,late,0.8571428571428571,0.8214285714285714,-0.0357142857142857,0.24999999999999994,0.7142857142857143,0.0357142857142857,0.17857142857142852,0.1428571428571428,0.6785714285714286,0.0,0.0714285714285714,0.5714285714285714,0.5357142857142857
grid_r0.7_c1.0,0,all,early,0.8292682926829268,0.4878048780487805,-0.3414634146341463,0.6585365853658537,0.3170731707317073,0.0,0.4878048780487805,0.14634146341463414,0.34146341463414637,0.024390243902438987,0.17073170731707318,0.17073170731707318,0.43902439024390244
grid_r0.7_c1.0,0,all,late,0.7906976744186046,0.46511627906976744,-0.3255813953488372,0.627906976744186,0.3488372093023256,0.0,0.5116279069767442,0.18604651162790695,0.2790697674418604,0.023255813953488372,0.11627906976744186,0.16279069767441856,0.4418604651162791
grid_r0.7_c1.0,0,both_reachable,early,0.7692307692307693,0.7692307692307693,0.0,0.5,0.5,0.0,0.2307692307692307,0.2307692307692307,0.5384615384615384,0.0,0.26923076923076916,0.26923076923076916,0.4230769230769231
grid_r0.7_c1.0,0,both_reachable,late,0.7333333333333333,0.6666666666666666,-0.06666666666666664,0.5,0.5,0.0,0.3333333333333333,0.26666666666666666,0.4,0.0,0.16666666666666663,0.23333333333333328,0.43333333333333335
grid_r0.7_c1.0,1,all,early,0.8571428571428571,0.5476190476190477,-0.30952380952380953,0.6190476190476191,0.38095238095238093,0.0,0.4523809523809524,0.14285714285714282,0.40476190476190477,0.0,0.16666666666666657,0.23809523809523808,0.40476190476190477
grid_r0.7_c1.0,1,all,late,0.8285714285714286,0.6,-0.22857142857142848,0.6285714285714286,0.34285714285714286,0.0,0.37142857142857144,0.14285714285714285,0.45714285714285713,0.02857142857142854,0.2571428571428571,0.2,0.34285714285714286
grid_r0.7_c1.0,1,both_reachable,early,0.8181818181818182,0.696969696969697,-0.12121212121212127,0.5151515151515151,0.48484848484848486,0.0,0.30303030303030304,0.18181818181818177,0.5151515151515151,0.0,0.21212121212121213,0.30303030303030304,0.42424242424242425
grid_r0.7_c1.0,1,both_reachable,late,0.7857142857142857,0.75,-0.03571428571428575,0.5357142857142857,0.42857142857142855,0.0,0.21428571428571425,0.17857142857142858,0.5714285714285714,0.0357142857142857,0.32142857142857134,0.24999999999999994,0.39285714285714285
grid_r0.7_c1.5,0,all,early,0.8292682926829268,0.34146341463414637,-0.4878048780487805,0.7073170731707317,0.26829268292682923,0.0,0.6341463414634146,0.14634146341463414,0.19512195121951217,0.024390243902438987,0.07317073170731703,0.12195121951219508,0.43902439024390244
grid_r0.7_c1.5,0,all,late,0.7674418604651163,0.37209302325581395,-0.3953488372093023,0.6744186046511628,0.3023255813953488,0.0,0.6046511627906976,0.2093023255813953,0.1627906976744186,0.023255813953488372,0.0697674418604651,0.09302325581395347,0.4418604651162791
grid_r0.7_c1.5,0,both_reachable,early,0.7692307692307693,0.5384615384615384,-0.2307692307692307,0.5769230769230769,0.4230769230769231,0.0,0.46153846153846156,0.2307692307692307,0.3076923076923076,0.0,0.11538461538461534,0.19230769230769226,0.4230769230769231
grid_r0.7_c1.5,0,both_reachable,late,0.7,0.5333333333333333,-0.1666666666666666,0.5666666666666667,0.43333333333333335,0.0,0.4666666666666667,0.3,0.23333333333333328,0.0,0.09999999999999999,0.1333333333333333,0.4666666666666667
