case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,customer,retired_at,scenario,seed
46:4,46,5,4,4.0,9.0,4.0,11.0,7.0,,7.0,12.0,8.0,closed_unresolved,closed_unresolved,,,0.0,e,archived_unresolved,0.8941158996911422,True,0.4046480530839883,12.0,8.0,remedy_supported,12.0,,159.0,159.0,2,100.0,objective_r0.6_f0_h96,8
68:4,68,2,4,10.0,10.0,,12.0,,,,13.0,,successful,unused,13.0,d,1.0,d,resolved,0.9033661889908224,False,0.449602394594256,13.0,,remedy_supported,13.0,3.0,3.0,9.0,1,,objective_r0.6_f0_h96,8
113:4,113,3,4,4.0,4.0,,6.0,,,,7.0,,successful,unused,7.0,d,1.0,d,resolved,0.6617371411095336,False,0.4463873497952859,7.0,,remedy_supported,7.0,3.0,3.0,3.0,-1,,objective_r0.6_f0_h96,8
15:5,15,5,5,5.0,5.0,,7.0,,,,8.0,,successful,unused,8.0,d,1.0,d,resolved,0.6860218074456768,True,0.4046480530839883,8.0,,remedy_supported,8.0,3.0,3.0,3.0,2,,objective_r0.6_f0_h96,8
39:5,39,0,5,7.0,7.0,,9.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.32233007161364857,False,0.5400192757424396,9.0,,no_remedy,,,156.0,158.0,-1,101.0,objective_r0.6_f0_h96,8
101:5,101,0,5,27.0,27.0,,29.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.6635700377386491,False,0.5400192757424396,29.0,,no_remedy,,,136.0,158.0,-1,101.0,objective_r0.6_f0_h96,8
109:5,109,3,5,6.0,6.0,,8.0,,,,9.0,,successful,unused,9.0,d,1.0,d,resolved,0.8542121079625558,False,0.4463873497952859,9.0,,remedy_supported,9.0,3.0,3.0,4.0,-1,,objective_r0.6_f0_h96,8
76:6,76,4,6,6.0,6.0,,8.0,,,,9.0,,successful,unused,9.0,d,1.0,d,resolved,0.8555632676569258,True,0.5593429267840302,9.0,,remedy_supported,9.0,3.0,3.0,3.0,1,,objective_r0.6_f0_h96,8
94:6,94,4,6,6.0,6.0,28.0,8.0,30.0,,30.0,,31.0,closed_unresolved,successful,31.0,e,1.0,d,resolved,0.4501487206674686,True,0.5593429267840302,8.0,31.0,no_remedy,,25.0,25.0,25.0,1,,objective_r0.6_f0_h96,8
41:7,41,3,7,7.0,7.0,,9.0,,,,,,closed_unresolved,unused,,,0.0,d,archived_unresolved,0.9199976437280464,False,0.4463873497952859,9.0,,no_remedy,,,156.0,156.0,-1,103.0,objective_r0.6_f0_h96,8
