scenario,seed,period,rho,feedback,cases,employees,domestic_users,customer_users,customer_employees,domestic_employees,domestic_use,customer_use,both_use,first_customer,d_to_e,resolved,unresolved,potential,blocked,prevented,mean_prevention,knowledge_share
objective_r0.6_f0,10,before,0.6,False,42,37,39,10,9,34,0.9285714285714286,0.23809523809523808,0.16666666666666666,0.16666666666666666,0.07142857142857142,0.5,0.5,57,15,0,0.0,1.0
objective_r0.6_f0,10,early_after,0.6,False,49,47,41,17,17,39,0.8367346938775511,0.3469387755102041,0.22448979591836735,0.22448979591836735,0.12244897959183673,0.42857142857142855,0.5714285714285714,78,29,0,0.0,1.0
objective_r0.6_f0,10,late_after,0.6,False,43,41,37,20,19,36,0.8604651162790697,0.46511627906976744,0.32558139534883723,0.27906976744186046,0.16279069767441862,0.4418604651162791,0.5581395348837209,60,17,0,0.0,1.0
objective_r0.6_f1,10,before,0.6,True,37,35,35,8,8,33,0.9459459459459459,0.21621621621621623,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.43243243243243246,0.5675675675675675,57,16,4,0.1635093191129193,1.0
objective_r0.6_f1,10,early_after,0.6,True,40,39,38,8,8,37,0.95,0.2,0.175,0.125,0.075,0.425,0.575,78,22,16,0.2908712839871873,1.0
objective_r0.6_f1,10,late_after,0.6,True,29,26,27,10,10,24,0.9310344827586207,0.3448275862068966,0.27586206896551724,0.1724137931034483,0.1724137931034483,0.3793103448275862,0.6206896551724138,60,17,14,0.35067166842849246,1.0
information_r0.0_f0,10,before,0.0,False,39,36,31,1,1,28,0.7948717948717948,0.02564102564102564,0.0,0.02564102564102564,0.0,0.3333333333333333,0.6666666666666666,57,18,0,0.0,0.1666666666666667
information_r0.0_f0,10,early_after,0.0,False,46,46,34,3,3,34,0.7391304347826086,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.30434782608695654,0.6956521739130435,78,32,0,0.0,0.3166666666666666
information_r0.0_f0,10,late_after,0.0,False,40,38,33,3,3,31,0.825,0.075,0.025,0.075,0.0,0.25,0.75,60,20,0,0.0,0.3166666666666666
information_r0.0_f1,10,before,0.0,True,39,36,31,1,1,28,0.7948717948717948,0.02564102564102564,0.0,0.02564102564102564,0.0,0.3333333333333333,0.6666666666666666,57,18,0,0.0,0.1666666666666667
information_r0.0_f1,10,early_after,0.0,True,40,40,29,3,3,29,0.725,0.075,0.05,0.05,0.025,0.35,0.65,78,30,8,0.1175499324213276,0.3166666666666666
information_r0.0_f1,10,late_after,0.0,True,40,38,32,3,3,30,0.8,0.075,0.025,0.075,0.0,0.25,0.75,60,19,1,0.0520672869565282,0.3166666666666666
information_r0.6_f0,10,before,0.6,False,42,37,39,10,9,34,0.9285714285714286,0.23809523809523808,0.16666666666666666,0.16666666666666666,0.07142857142857142,0.5,0.5,57,15,0,0.0,1.0
information_r0.6_f0,10,early_after,0.6,False,48,46,44,11,11,42,0.9166666666666666,0.22916666666666666,0.16666666666666666,0.14583333333333334,0.08333333333333333,0.4375,0.5625,78,30,0,0.0,1.0
information_r0.6_f0,10,late_after,0.6,False,42,41,37,15,15,37,0.8809523809523809,0.35714285714285715,0.2857142857142857,0.16666666666666666,0.14285714285714285,0.2619047619047619,0.7380952380952381,60,18,0,0.0,1.0
information_r0.6_f1,10,before,0.6,True,37,35,35,8,8,33,0.9459459459459459,0.21621621621621623,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.43243243243243246,0.5675675675675675,57,16,4,0.1635093191129193,1.0
information_r0.6_f1,10,early_after,0.6,True,41,40,39,8,8,38,0.9512195121951219,0.1951219512195122,0.17073170731707318,0.14634146341463414,0.04878048780487805,0.3902439024390244,0.6097560975609756,78,23,14,0.243332498940894,1.0
information_r0.6_f1,10,late_after,0.6,True,36,34,36,11,11,34,1.0,0.3055555555555556,0.3055555555555556,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.6666666666666666,60,19,5,0.197954165983801,1.0
objective_r0.6_f0_h96,10,before,0.6,False,42,37,39,10,9,34,0.9285714285714286,0.23809523809523808,0.16666666666666666,0.16666666666666666,0.07142857142857142,0.5,0.5,57,15,0,0.0,1.0
objective_r0.6_f0_h96,10,early_after,0.6,False,36,34,33,14,14,31,0.9166666666666666,0.3888888888888889,0.3055555555555556,0.25,0.1388888888888889,0.4722222222222222,0.5277777777777778,78,42,0,0.0,1.0
objective_r0.6_f0_h96,10,late_after,0.6,False,31,30,25,16,15,25,0.8064516129032258,0.5161290322580645,0.3548387096774194,0.3225806451612903,0.1935483870967742,0.41935483870967744,0.5806451612903226,60,29,0,0.0,1.0
objective_r0.6_f1_h96,10,before,0.6,True,37,35,35,8,8,33,0.9459459459459459,0.21621621621621623,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.43243243243243246,0.5675675675675675,57,16,4,0.1635093191129193,1.0
objective_r0.6_f1_h96,10,early_after,0.6,True,25,24,24,4,4,23,0.96,0.16,0.12,0.12,0.04,0.36,0.64,78,40,13,0.3197095181904099,1.0
objective_r0.6_f1_h96,10,late_after,0.6,True,22,21,18,7,7,18,0.8181818181818182,0.3181818181818182,0.18181818181818182,0.18181818181818182,0.13636363636363635,0.36363636363636365,0.6363636363636364,60,26,12,0.38486889309011935,1.0
none_r0.0_f0,11,before,0.0,False,55,53,43,2,2,41,0.7818181818181819,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.2727272727272727,0.7272727272727273,76,21,0,0.0,0.20000000000000007
none_r0.0_f0,11,early_after,0.0,False,41,38,34,2,2,31,0.8292682926829268,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.43902439024390244,0.5609756097560976,66,25,0,0.0,0.20000000000000007
none_r0.0_f0,11,late_after,0.0,False,38,37,29,1,1,28,0.7631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.2894736842105263,0.7105263157894737,76,38,0,0.0,0.20000000000000007
none_r0.0_f1,11,before,0.0,True,54,52,42,1,1,40,0.7777777777777778,0.018518518518518517,0.018518518518518517,0.0,0.018518518518518517,0.2777777777777778,0.7222222222222222,76,21,1,0.010851215580909129,0.20000000000000007
none_r0.0_f1,11,early_after,0.0,True,39,36,32,2,2,29,0.8205128205128205,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.4358974358974359,0.5641025641025641,66,23,4,0.09518883001413142,0.20000000000000007
none_r0.0_f1,11,late_after,0.0,True,30,29,23,1,1,22,0.7666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,0.2,0.8,76,35,11,0.12478160619326711,0.20000000000000007
none_r0.6_f0,11,before,0.6,False,55,53,42,25,24,41,0.7636363636363637,0.45454545454545453,0.2909090909090909,0.23636363636363636,0.2,0.2727272727272727,0.7272727272727273,76,21,0,0.0,1.0
none_r0.6_f0,11,early_after,0.6,False,42,39,36,16,15,34,0.8571428571428571,0.38095238095238093,0.2857142857142857,0.14285714285714285,0.23809523809523808,0.40476190476190477,0.5952380952380952,66,24,0,0.0,1.0
none_r0.6_f0,11,late_after,0.6,False,41,40,33,17,17,32,0.8048780487804879,0.4146341463414634,0.2926829268292683,0.2682926829268293,0.12195121951219512,0.34146341463414637,0.6585365853658537,76,35,0,0.0,1.0
none_r0.6_f1,11,before,0.6,True,50,49,37,21,21,36,0.74,0.42,0.26,0.2,0.2,0.26,0.74,76,18,8,0.2628172106812319,1.0
none_r0.6_f1,11,early_after,0.6,True,30,29,27,9,9,26,0.9,0.3,0.3,0.16666666666666666,0.13333333333333333,0.4666666666666667,0.5333333333333333,66,16,20,0.45721113463667995,1.0
none_r0.6_f1,11,late_after,0.6,True,24,22,15,10,9,14,0.625,0.4166666666666667,0.25,0.2916666666666667,0.08333333333333333,0.2916666666666667,0.7083333333333334,76,23,29,0.5732917327884148,1.0
objective_r0.0_f0,11,before,0.0,False,55,53,43,2,2,41,0.7818181818181819,0.03636363636363636,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.2727272727272727,0.7272727272727273,76,21,0,0.0,0.20000000000000007
