scenario,period,metric,n,mean,low,high
none_r0.0_f1,early_after,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.0_f1,late_after,cases,20,40.4,37.698750000000004,43.05124999999999
none_r0.0_f1,late_after,customer_users,20,2.95,2.25,3.7
none_r0.0_f1,late_after,customer_employees,20,2.95,2.25,3.7
none_r0.0_f1,late_after,domestic_use,20,0.8045265849216747,0.7818056019217782,0.8270411254921877
none_r0.0_f1,late_after,customer_use,20,0.07023232970528873,0.05580233594962462,0.08547920795471477
none_r0.0_f1,late_after,both_use,20,0.041823298991317946,0.027353729170024082,0.05816269159844232
none_r0.0_f1,late_after,first_customer,20,0.04674183032253209,0.03619830687270259,0.057402228510585615
none_r0.0_f1,late_after,d_to_e,20,0.02349049938275661,0.01347878518104587,0.03456861086914438
none_r0.0_f1,late_after,resolved,20,0.31251898868952166,0.2807614002443245,0.34431598336454927
none_r0.0_f1,late_after,unresolved,20,0.6874810113104783,0.6556840166354506,0.7192385997556756
none_r0.0_f1,late_after,potential,20,69.5,67.0,72.25125
none_r0.0_f1,late_after,blocked,20,25.75,23.25,28.301249999999992
none_r0.0_f1,late_after,prevented,20,3.35,1.95,4.9
none_r0.0_f1,late_after,mean_prevention,20,0.08781906653356572,0.062070924644798874,0.11520699075052736
none_r0.0_f1,late_after,knowledge_share,20,0.14916666666666664,0.13374999999999998,0.16499999999999998
none_r0.6_f0,before,cases,20,52.45,50.15,54.80124999999999
none_r0.6_f0,before,customer_users,20,26.1,23.35,28.45
none_r0.6_f0,before,customer_employees,20,24.45,21.85,26.75
none_r0.6_f0,before,domestic_use,20,0.8162780329164929,0.7934903033647521,0.8402555323784573
none_r0.6_f0,before,customer_use,20,0.4956422429147831,0.44948334915128935,0.5356209694384934
none_r0.6_f0,before,both_use,20,0.3499792805595961,0.31542833159449457,0.3822927250632793
none_r0.6_f0,before,first_customer,20,0.3133650087866269,0.2766107426070251,0.3457804258371199
none_r0.6_f0,before,d_to_e,20,0.17202771879168074,0.14721895022255163,0.19672424922808995
none_r0.6_f0,before,resolved,20,0.4231854201787132,0.3915863709621095,0.45222147373118904
none_r0.6_f0,before,unresolved,20,0.5768145798212868,0.5477785262688109,0.6084136290378904
none_r0.6_f0,before,potential,20,70.25,66.65,73.95
none_r0.6_f0,before,blocked,20,17.8,15.5,20.1
none_r0.6_f0,before,prevented,20,0.0,0.0,0.0
none_r0.6_f0,before,mean_prevention,20,0.0,0.0,0.0
none_r0.6_f0,before,knowledge_share,20,1.0,1.0,1.0
none_r0.6_f0,early_after,cases,20,44.95,42.54875,47.45
none_r0.6_f0,early_after,customer_users,20,22.4,19.798750000000002,25.0
none_r0.6_f0,early_after,customer_employees,20,21.3,18.95,23.65
none_r0.6_f0,early_after,domestic_use,20,0.8344898960894132,0.8048713562981912,0.8625374502358537
none_r0.6_f0,early_after,customer_use,20,0.5028467316700339,0.4411016714236552,0.5600656630278193
none_r0.6_f0,early_after,both_use,20,0.37478064721325516,0.32922349012824886,0.41887864178006506
none_r0.6_f0,early_after,first_customer,20,0.30376496764415545,0.25762464636093363,0.346974084547275
none_r0.6_f0,early_after,d_to_e,20,0.18830525720418761,0.1611321788554804,0.21566971417156722
none_r0.6_f0,early_after,resolved,20,0.4080054929607256,0.3771842929133976,0.4397244609543182
none_r0.6_f0,early_after,unresolved,20,0.5919945070392744,0.5602755390456817,0.6228157070866023
none_r0.6_f0,early_after,potential,20,71.1,67.4,75.3
none_r0.6_f0,early_after,blocked,20,26.15,23.85,28.75124999999999
none_r0.6_f0,early_after,prevented,20,0.0,0.0,0.0
none_r0.6_f0,early_after,mean_prevention,20,0.0,0.0,0.0
none_r0.6_f0,early_after,knowledge_share,20,1.0,1.0,1.0
none_r0.6_f0,late_after,cases,20,44.6,41.79875,47.4
none_r0.6_f0,late_after,customer_users,20,22.55,19.6,25.55
none_r0.6_f0,late_after,customer_employees,20,21.9,19.1,24.70124999999999
none_r0.6_f0,late_after,domestic_use,20,0.8249412838195882,0.800369796896724,0.8525742623169738
none_r0.6_f0,late_after,customer_use,20,0.5020668606136618,0.4535654728728284,0.5498473451361021
none_r0.6_f0,late_after,both_use,20,0.3605893928997553,0.3255563249269952,0.3942679415664726
none_r0.6_f0,late_after,first_customer,20,0.32032328542473515,0.27427199441316263,0.3635335536491521
none_r0.6_f0,late_after,d_to_e,20,0.17070642265286862,0.14908964766151023,0.19154212505282878
none_r0.6_f0,late_after,resolved,20,0.407984548083739,0.36378386239533167,0.45665537318640115
none_r0.6_f0,late_after,unresolved,20,0.592015451916261,0.5433446268135987,0.6362161376046683
none_r0.6_f0,late_after,potential,20,69.5,67.0,72.25125
none_r0.6_f0,late_after,blocked,20,24.9,22.3,27.6
none_r0.6_f0,late_after,prevented,20,0.0,0.0,0.0
none_r0.6_f0,late_after,mean_prevention,20,0.0,0.0,0.0
none_r0.6_f0,late_after,knowledge_share,20,1.0,1.0,1.0
none_r0.6_f1,before,cases,20,37.1,34.5,39.8
none_r0.6_f1,before,customer_users,20,16.75,15.05,18.35
none_r0.6_f1,before,customer_employees,20,16.3,14.55,17.95
none_r0.6_f1,before,domestic_use,20,0.8139914124526687,0.7823312025965644,0.8461350830891942
none_r0.6_f1,before,customer_use,20,0.45812160963933934,0.4106205667021698,0.5049326116806536
none_r0.6_f1,before,both_use,20,0.327257857996826,0.28880723187987384,0.3687933760768554
none_r0.6_f1,before,first_customer,20,0.2903375978771871,0.25196053331637136,0.32775534794022904
none_r0.6_f1,before,d_to_e,20,0.1578960039898733,0.13391444356959634,0.1819037718445404
none_r0.6_f1,before,resolved,20,0.38221030843544657,0.3525999937745623,0.4113676064394866
none_r0.6_f1,before,unresolved,20,0.6177896915645534,0.5886323935605133,0.6474000062254375
none_r0.6_f1,before,potential,20,70.25,66.65,73.95
none_r0.6_f1,before,blocked,20,15.6,13.4,18.0
none_r0.6_f1,before,prevented,20,17.55,14.5,20.551249999999992
none_r0.6_f1,before,mean_prevention,20,0.4034396478101919,0.3461928826036267,0.4600328266268596
none_r0.6_f1,before,knowledge_share,20,1.0,1.0,1.0
none_r0.6_f1,early_after,cases,20,33.35,31.55,35.2
none_r0.6_f1,early_after,customer_users,20,15.45,13.55,17.4
none_r0.6_f1,early_after,customer_employees,20,15.15,13.348749999999999,17.1
none_r0.6_f1,early_after,domestic_use,20,0.8146867146020063,0.7741156309622635,0.8553656275142154
none_r0.6_f1,early_after,customer_use,20,0.4699905164329158,0.4077852484261484,0.5281183983195156
none_r0.6_f1,early_after,both_use,20,0.3362361919093694,0.29015664766992455,0.3832353994136304
none_r0.6_f1,early_after,first_customer,20,0.309744001020516,0.2631278491493511,0.35514904796882985
none_r0.6_f1,early_after,d_to_e,20,0.15707887408686352,0.1326676795018619,0.1831469538917941
none_r0.6_f1,early_after,resolved,20,0.4126525337509358,0.37872496374287623,0.44743101797008045
