scenario,seed,time,new_disputes,new_complaints,visible_complainants,new_complainants,unresolved,pending,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,unsubmitted,eligible_unsubmitted,threshold_blocked,utility_abstained,domestic_submissions,external_submissions,multi_submissions,total_submitted,unresolved_fraction,submitted_unresolved_fraction,mean_processing_time,domestic_case_share,external_case_share,multi_case_share
delay_8,6,49,0,0,0,0,7,0,0,87,87,94,7,7,7,0,0,0,0,87,0.07446808510638298,0.0,9.954022988505747,1.0,0.0,0.0
delay_8,7,49,0,0,0,0,8,0,0,85,85,93,8,8,8,0,0,0,0,85,0.08602150537634409,0.0,9.48235294117647,1.0,0.0,0.0
delay_8,8,49,0,0,0,0,3,0,0,96,96,99,3,3,3,0,0,0,0,96,0.030303030303030304,0.0,8.822916666666666,1.0,0.0,0.0
delay_8,9,49,0,0,0,0,4,0,0,98,98,102,4,4,4,0,0,0,0,98,0.0392156862745098,0.0,9.561224489795919,1.0,0.0,0.0
delay_8,10,49,0,0,0,0,6,0,0,91,91,97,6,6,6,0,0,0,0,91,0.061855670103092786,0.0,10.208791208791208,1.0,0.0,0.0
delay_8,11,49,0,0,0,0,2,0,0,83,83,85,2,2,2,0,0,0,0,83,0.023529411764705882,0.0,9.25301204819277,1.0,0.0,0.0
delay_8,12,49,0,0,0,0,5,0,0,97,97,102,5,5,5,0,0,0,0,97,0.049019607843137254,0.0,10.010309278350515,1.0,0.0,0.0
delay_8,13,49,0,0,0,0,2,0,0,94,94,96,2,2,2,0,0,0,0,94,0.020833333333333332,0.0,9.414893617021276,1.0,0.0,0.0
delay_8,14,49,0,0,0,0,4,0,0,89,89,93,4,4,4,0,0,0,0,89,0.043010752688172046,0.0,8.898876404494382,1.0,0.0,0.0
delay_8,15,49,0,0,0,0,81,0,0,16,16,97,81,81,81,0,0,0,0,16,0.8350515463917526,0.0,8.625,1.0,0.0,0.0
delay_8,16,49,0,0,0,0,13,0,0,72,72,85,13,13,13,0,0,0,0,72,0.15294117647058825,0.0,9.055555555555555,1.0,0.0,0.0
delay_8,17,49,0,0,0,0,8,0,0,88,88,96,8,8,8,0,0,0,0,88,0.08333333333333333,0.0,9.181818181818182,1.0,0.0,0.0
