scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
new_on_prevention,15,44,1,1,1,1,0,0,43,3,0,40,3,0,1,73,96,116,4,1,116,112,58,54,0.5,0.5,0.9655172413793104,0.8362068965517241,0.08620689655172414,0.07758620689655173,0.0,0.4020618556701031,5.384615384615385,0.3448275862068966,0.5862068965517241,0.5576923076923077,0.36538461538461536,0.6091240255954085,0.581623192866522,0.3706896551724138,0.3706896551724138,0.41379310344827586,5.506849315068493,5.0,1838,639
new_on_prevention,16,44,2,2,2,2,1,0,60,5,0,55,3,3,0,68,101,128,2,3,128,128,49,49,0.3828125,0.3828125,1.0,0.9296875,0.0625,0.0078125,0.0,0.33613445378151263,4.95,0.2653061224489796,0.4489795918367347,0.6428571428571429,0.5714285714285714,0.626022608438382,0.40544828447801634,0.46875,0.46875,0.5510204081632653,5.823529411764706,6.0,2470,729
new_on_prevention,17,44,0,0,0,0,0,0,53,1,0,52,1,0,0,66,97,119,1,0,119,116,48,45,0.40336134453781514,0.40336134453781514,0.9747899159663865,0.8151260504201681,0.14285714285714285,0.04201680672268908,0.0,0.26804123711340205,6.1923076923076925,0.3125,0.5,0.5777777777777777,0.3111111111111111,0.5886129992075432,0.5432323783445502,0.44537815126050423,0.44537815126050423,0.5,5.46969696969697,5.0,2496,678
new_on_prevention,18,44,0,0,0,0,0,0,58,4,0,54,3,1,1,54,94,112,4,1,112,109,69,66,0.6160714285714286,0.6160714285714286,0.9732142857142857,0.8125,0.08928571428571429,0.09821428571428571,0.0,0.5274725274725275,5.5625,0.2463768115942029,0.4057971014492754,0.5737704918032787,0.4426229508196721,0.5846723657311824,0.42532915295071566,0.5178571428571429,0.5178571428571429,0.5942028985507246,5.555555555555555,5.0,2355,624
new_on_prevention,19,44,0,0,0,0,1,1,52,4,0,48,2,2,1,59,96,111,3,1,111,107,66,62,0.5945945945945946,0.5945945945945946,0.963963963963964,0.8648648648648649,0.06306306306306306,0.07207207207207207,0.0,0.53125,5.705882352941177,0.19696969696969696,0.3484848484848485,0.6065573770491803,0.5245901639344263,0.6163211655949615,0.366757607874133,0.46846846846846846,0.46846846846846846,0.6515151515151515,5.322033898305085,5.0,2204,650
network_ws,0,44,0,0,0,0,0,0,29,0,0,29,0,0,0,40,69,69,0,0,69,67,44,42,0.6376811594202898,0.6376811594202898,0.9710144927536232,0.7971014492753623,0.11594202898550725,0.08695652173913043,0.0,0.5454545454545454,5.566666666666666,0.25,0.5681818181818182,0.6285714285714286,0.2,0.5953223143476114,0.513022056772439,0.42028985507246375,0.42028985507246375,0.4318181818181818,5.675,6.0,1532,420
network_ws,1,44,0,0,0,0,0,0,36,0,0,36,0,0,0,45,81,81,0,0,81,80,43,42,0.5308641975308642,0.5308641975308642,0.9876543209876543,0.8148148148148148,0.07407407407407407,0.1111111111111111,0.0,0.42424242424242425,5.785714285714286,0.2558139534883721,0.5348837209302325,0.5675675675675675,0.43243243243243246,0.5485482375718737,0.4675068211031295,0.4444444444444444,0.4444444444444444,0.46511627906976744,6.377777777777778,6.0,1907,526
network_ws,2,44,0,0,0,0,0,0,26,0,0,26,0,0,0,49,75,75,0,0,75,74,40,39,0.5333333333333333,0.5333333333333333,0.9866666666666667,0.8133333333333334,0.06666666666666667,0.12,0.0,0.4262295081967213,6.076923076923077,0.275,0.625,0.5588235294117647,0.4411764705882353,0.6159876927658561,0.6059111157746522,0.3466666666666667,0.3466666666666667,0.375,6.326530612244898,6.0,1480,467
network_ws,3,44,0,0,0,0,0,0,43,0,0,43,0,0,0,41,84,84,0,0,84,81,51,48,0.6071428571428571,0.6071428571428571,0.9642857142857143,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.5285714285714286,5.945945945945946,0.37254901960784315,0.5098039215686274,0.6595744680851063,0.44680851063829785,0.5870239384686743,0.5515629705270214,0.5119047619047619,0.5119047619047619,0.49019607843137253,6.634146341463414,7.0,2207,577
network_ws,4,44,0,0,0,0,0,0,38,0,0,38,0,0,0,44,82,82,0,0,82,80,35,33,0.4268292682926829,0.4268292682926829,0.975609756097561,0.8536585365853658,0.06097560975609756,0.08536585365853659,0.0,0.32857142857142857,6.0,0.2571428571428571,0.5428571428571428,0.6333333333333333,0.26666666666666666,0.6261319416917508,0.709239781061548,0.4634146341463415,0.4634146341463415,0.45714285714285713,5.840909090909091,6.0,1967,511
