treatment,control,metric,mean_difference,sd_difference,n
domestic_0.95_help_on,domestic_0.95_help_off,domestic_share_submitted,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,first_domestic_share,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,first_customer_share,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,first_both_share,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,no_submission_share,0.0,0.0,20
domestic_0.95_help_on,domestic_0.95_help_off,domestic_then_customer_share,-0.0005813953488372104,0.0026000790436044104,20
domestic_0.95_help_on,domestic_0.95_help_off,mean_escalation_time,-0.004333333333333344,0.01937925580499823,20
domestic_0.95_help_on,domestic_0.95_help_off,external_path_trigger_rate,0.046221903096903105,0.04961602371212796,20
domestic_0.95_help_on,domestic_0.95_help_off,external_user_case_resolution_rate,0.044022829022829016,0.046484194766261346,20
domestic_0.95_help_on,domestic_0.95_help_off,customer_intervention_rate,0.16370442127980156,0.12454664072008174,20
domestic_0.95_help_on,domestic_0.95_help_off,material_at_customer_review_share,-0.004103641456582635,0.01264454798212852,20
domestic_0.95_help_on,domestic_0.95_help_off,external_user_mean_merit,0.00024934892773141316,0.0011151223050482443,20
domestic_0.95_help_on,domestic_0.95_help_off,external_user_mean_dependence,0.0005430621801800651,0.0024286479017837288,20
domestic_0.95_help_on,domestic_0.95_help_off,unresolved_fraction,-0.01307745556504607,0.015452126112770697,20
domestic_0.95_help_on,domestic_0.95_help_off,submitted_unresolved_fraction,-0.01307745556504607,0.015452126112770697,20
domestic_0.95_help_on,domestic_0.95_help_off,external_user_unresolved_fraction,-0.04402282902282903,0.04648419476626135,20
domestic_0.95_help_on,domestic_0.95_help_off,mean_processing_time,0.0675822599854233,0.08643950111105426,20
domestic_0.95_help_on,domestic_0.95_help_off,median_processing_time,0.025,0.11180339887498947,20
domestic_0.95_help_on,domestic_0.95_help_off,unresolved_case_rounds,-36.75,44.79176968572404,20
domestic_0.95_help_on,domestic_0.95_help_off,pending_case_rounds,2.4,2.280350850198276,20
new_on_prevention,new_on,time,0.0,0.0,20
new_on_prevention,new_on,new_disputes,-0.4,0.6805570473787206,20
new_on_prevention,new_on,new_complaints,-0.4,0.6805570473787206,20
new_on_prevention,new_on,new_complainants,-0.4,0.6805570473787206,20
new_on_prevention,new_on,new_domestic,-0.45,0.7591546545162483,20
new_on_prevention,new_on,new_customer,-0.45,0.6048053188292994,20
new_on_prevention,new_on,new_additional_channel,-0.45,0.6048053188292994,20
new_on_prevention,new_on,unresolved,-11.95,4.097174893174949,20
new_on_prevention,new_on,pending,-2.0,2.051956704170308,20
new_on_prevention,new_on,unsubmitted,0.0,0.0,20
new_on_prevention,new_on,closed_unresolved,-9.95,3.5015034364954536,20
new_on_prevention,new_on,pending_domestic,-1.1,1.6827296120792614,20
new_on_prevention,new_on,pending_customer,-1.0,1.025978352085154,20
new_on_prevention,new_on,new_resolved,-0.5,0.7608859102526822,20
new_on_prevention,new_on,cumulative_resolved,-15.05,4.148239956516752,20
new_on_prevention,new_on,cumulative_complainants,-9.35,3.328900561351814,20
new_on_prevention,new_on,total_cases,-27.0,5.866945766885777,20
new_on_prevention,new_on,visible_domestic,-1.0,1.2977713690461004,20
new_on_prevention,new_on,visible_customer,-1.45,1.3945382182304158,20
new_on_prevention,new_on,unique_submitted_cases,-27.0,5.866945766885777,20
new_on_prevention,new_on,unique_domestic_cases,-25.95,5.623961892511457,20
new_on_prevention,new_on,unique_customer_cases,-12.95,4.045465297550359,20
new_on_prevention,new_on,multi_cases,-11.9,3.878415303079068,20
new_on_prevention,new_on,customer_share_all_cases,0.0032991717311544877,0.021442917651646246,20
new_on_prevention,new_on,customer_share_submitted,0.0032991717311544877,0.021442917651646246,20
new_on_prevention,new_on,domestic_share_submitted,0.002738632656270257,0.008321898991654138,20
new_on_prevention,new_on,first_domestic_share,0.002346768932751786,0.013653896174252726,20
new_on_prevention,new_on,first_customer_share,-0.0017329858927565204,0.008566451259600706,20
new_on_prevention,new_on,first_both_share,-0.0006137830399952689,0.011584122217380494,20
new_on_prevention,new_on,no_submission_share,0.0,0.0,20
new_on_prevention,new_on,domestic_then_customer_share,0.005891631253468063,0.024278161377414467,20
new_on_prevention,new_on,mean_escalation_time,0.06561480232141208,0.5946112527743986,20
new_on_prevention,new_on,external_path_trigger_rate,-0.013824098828274928,0.030611345212875736,20
new_on_prevention,new_on,external_user_case_resolution_rate,0.004153785059638285,0.027502765825870724,20
new_on_prevention,new_on,customer_intervention_rate,-0.01854468377262055,0.030285292253252792,20
new_on_prevention,new_on,material_at_customer_review_share,-0.0031637871351657327,0.02527135917417767,20
new_on_prevention,new_on,external_user_mean_merit,-0.0059806317700148385,0.01096122436324599,20
new_on_prevention,new_on,external_user_mean_dependence,-0.0072956752663644545,0.009341189183629566,20
new_on_prevention,new_on,unresolved_fraction,0.002356983881325175,0.019840846506847955,20
new_on_prevention,new_on,submitted_unresolved_fraction,0.002356983881325175,0.019840846506847955,20
new_on_prevention,new_on,external_user_unresolved_fraction,-0.004153785059638299,0.027502765825870707,20
new_on_prevention,new_on,mean_processing_time,0.28304704223792276,0.119874350012679,20
new_on_prevention,new_on,median_processing_time,0.5,0.4866642633922876,20
new_on_prevention,new_on,unresolved_case_rounds,-292.1,81.59843909755809,20
new_on_prevention,new_on,pending_case_rounds,-104.55,25.290886646545648,20
high_objective_fixed_belief,low_objective_fixed_belief,time,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_disputes,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_complaints,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_complainants,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_domestic,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_customer,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_additional_channel,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,unresolved,-38.55,7.022332795783524,20
high_objective_fixed_belief,low_objective_fixed_belief,pending,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,unsubmitted,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,closed_unresolved,-38.55,7.022332795783524,20
high_objective_fixed_belief,low_objective_fixed_belief,pending_domestic,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,pending_customer,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,new_resolved,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,cumulative_resolved,38.55,7.022332795783524,20
high_objective_fixed_belief,low_objective_fixed_belief,cumulative_complainants,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,total_cases,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,visible_domestic,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,visible_customer,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,unique_submitted_cases,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,unique_domestic_cases,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,unique_customer_cases,-14.6,4.185186910244775,20
high_objective_fixed_belief,low_objective_fixed_belief,multi_cases,-14.6,4.185186910244775,20
high_objective_fixed_belief,low_objective_fixed_belief,customer_share_all_cases,-0.188282198417898,0.0533874305461891,20
high_objective_fixed_belief,low_objective_fixed_belief,customer_share_submitted,-0.188282198417898,0.0533874305461891,20
high_objective_fixed_belief,low_objective_fixed_belief,domestic_share_submitted,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,first_domestic_share,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,first_customer_share,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,first_both_share,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,no_submission_share,0.0,0.0,20
high_objective_fixed_belief,low_objective_fixed_belief,domestic_then_customer_share,-0.22399953917095433,0.06202089955715062,20
high_objective_fixed_belief,low_objective_fixed_belief,mean_escalation_time,-0.1074534872739108,0.21365536140097574,20
high_objective_fixed_belief,low_objective_fixed_belief,external_path_trigger_rate,-0.12953930845792966,0.06845711714548933,20
high_objective_fixed_belief,low_objective_fixed_belief,external_user_case_resolution_rate,0.3878961857795459,0.10226255150514506,20
high_objective_fixed_belief,low_objective_fixed_belief,customer_intervention_rate,-0.10664299614587822,0.07348477594639387,20
high_objective_fixed_belief,low_objective_fixed_belief,material_at_customer_review_share,-0.20639170248640165,0.09827138128642493,20
high_objective_fixed_belief,low_objective_fixed_belief,external_user_mean_merit,-0.01003186599519983,0.025508896258201175,20
high_objective_fixed_belief,low_objective_fixed_belief,external_user_mean_dependence,0.011086871495986755,0.019174970202776195,20
high_objective_fixed_belief,low_objective_fixed_belief,unresolved_fraction,-0.49546520829100615,0.08295394903886873,20
high_objective_fixed_belief,low_objective_fixed_belief,submitted_unresolved_fraction,-0.49546520829100615,0.08295394903886873,20
