block,comparison,metric,n,mean_difference,sd_difference,se_difference,ci_low,ci_high
horizon_double,both - customer_only,customer_use,2,-0.09375,0.13258252147247765,0.09374999999999999,-0.1875,0.0
horizon_double,both - customer_only,resolved_share,2,0.19642857142857142,0.07576144084141581,0.05357142857142857,0.14285714285714285,0.25
horizon_double,both - customer_only,d_to_e_all,2,0.3794642857142857,0.27147849634840665,0.1919642857142857,0.1875,0.5714285714285714
horizon_double,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
horizon_double,both - customer_only,both_use,2,0.48214285714285715,0.3282995769794685,0.23214285714285712,0.25,0.7142857142857143
costs_up20,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
costs_up20,both - domestic_only,customer_use,2,0.41964285714285715,0.416687924627787,0.29464285714285715,0.125,0.7142857142857143
costs_up20,both - domestic_only,resolved_share,2,0.0,0.0,0.0,0.0,0.0
costs_up20,both - domestic_only,d_to_e_all,2,0.3482142857142857,0.31567267017256584,0.2232142857142857,0.125,0.5714285714285714
costs_up20,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
costs_up20,both - domestic_only,both_use,2,0.38392857142857145,0.36618029740017644,0.25892857142857145,0.125,0.6428571428571429
costs_up20,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
costs_up20,both - customer_only,customer_use,2,-0.125,0.1767766952966369,0.125,-0.25,0.0
costs_up20,both - customer_only,resolved_share,2,0.1607142857142857,0.12626906806902635,0.08928571428571429,0.07142857142857142,0.25
costs_up20,both - customer_only,d_to_e_all,2,0.3482142857142857,0.31567267017256584,0.2232142857142857,0.125,0.5714285714285714
costs_up20,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
costs_up20,both - customer_only,both_use,2,0.38392857142857145,0.36618029740017644,0.25892857142857145,0.125,0.6428571428571429
priors_down10,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
priors_down10,both - domestic_only,customer_use,2,0.38839285714285715,0.46088209845194616,0.32589285714285715,0.0625,0.7142857142857143
priors_down10,both - domestic_only,resolved_share,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
priors_down10,both - domestic_only,d_to_e_all,2,0.25,0.3535533905932738,0.25,0.0,0.5
priors_down10,both - domestic_only,e_to_d_all,2,0.07142857142857142,0.10101525445522107,0.07142857142857142,0.0,0.14285714285714285
priors_down10,both - domestic_only,both_use,2,0.35267857142857145,0.4103744712243357,0.29017857142857145,0.0625,0.6428571428571429
priors_down10,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
priors_down10,both - customer_only,customer_use,2,-0.0625,0.08838834764831845,0.0625,-0.125,0.0
priors_down10,both - customer_only,resolved_share,2,0.19642857142857142,0.07576144084141581,0.05357142857142857,0.14285714285714285,0.25
priors_down10,both - customer_only,d_to_e_all,2,0.25,0.3535533905932738,0.25,0.0,0.5
priors_down10,both - customer_only,e_to_d_all,2,0.07142857142857142,0.10101525445522107,0.07142857142857142,0.0,0.14285714285714285
priors_down10,both - customer_only,both_use,2,0.35267857142857145,0.4103744712243357,0.29017857142857145,0.0625,0.6428571428571429
expected_wait_double,both - domestic_only,domestic_use,2,-0.0357142857142857,0.05050762722761051,0.03571428571428569,-0.0714285714285714,0.0
expected_wait_double,both - domestic_only,customer_use,2,0.45089285714285715,0.37249375080362773,0.26339285714285715,0.1875,0.7142857142857143
expected_wait_double,both - domestic_only,resolved_share,2,0.0,0.0,0.0,0.0,0.0
expected_wait_double,both - domestic_only,d_to_e_all,2,0.3125,0.2651650429449553,0.18749999999999997,0.125,0.5
expected_wait_double,both - domestic_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
expected_wait_double,both - domestic_only,both_use,2,0.41517857142857145,0.3219861235760172,0.22767857142857142,0.1875,0.6428571428571429
expected_wait_double,both - customer_only,domestic_use,2,0.9642857142857143,0.05050762722761051,0.03571428571428569,0.9285714285714286,1.0
expected_wait_double,both - customer_only,customer_use,2,-0.125,0.1767766952966369,0.125,-0.25,0.0
expected_wait_double,both - customer_only,resolved_share,2,0.1607142857142857,0.12626906806902635,0.08928571428571429,0.07142857142857142,0.25
expected_wait_double,both - customer_only,d_to_e_all,2,0.3125,0.2651650429449553,0.18749999999999997,0.125,0.5
expected_wait_double,both - customer_only,e_to_d_all,2,0.03571428571428571,0.050507627227610534,0.03571428571428571,0.0,0.07142857142857142
expected_wait_double,both - customer_only,both_use,2,0.41517857142857145,0.3219861235760172,0.22767857142857142,0.1875,0.6428571428571429
