case_id,employee,firm,created,first_submitted,d_submitted,e_submitted,d_responded,e_responded,material_at,customer_intervened_at,d_due,e_due,d_status,e_status,resolved,resolved_by,compensation,initial_choice,status,merit,reachable,dependence,d_finished,e_finished,d_institution_outcome,d_implementation_at,processing_time,observed_wait,dispute_age_observed,scenario,seed
1:0,1,1,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5254757826263281,True,0.5544366598634967,2.0,6.0,no_remedy,,,24.0,24.0,baseline,3
2:0,2,2,0,0,0.0,,2.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.4994881952775434,False,0.4,2.0,,no_remedy,,,24.0,24.0,baseline,3
3:0,3,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.2705978952797168,False,0.5455633401365033,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,3
5:0,5,0,0,0,0.0,,2.0,,2.0,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.406839627153905,False,0.5455633401365033,2.0,,no_remedy,,,24.0,24.0,baseline,3
6:0,6,2,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.5324071191598923,True,0.4,2.0,6.0,no_remedy,,,24.0,24.0,baseline,3
9:0,9,1,0,0,0.0,3.0,2.0,,2.0,,3.0,,successful,cancelled_by_resolution,3.0,d,1.0,d,resolved,0.7338175302722896,True,0.5544366598634967,3.0,3.0,remedy_supported,3.0,3.0,3.0,3.0,baseline,3
10:0,10,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.7788775482051677,False,0.5455633401365033,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,3
11:0,11,2,0,0,0.0,0.0,2.0,2.0,,,,,closed_unresolved,closed_unresolved,,,0.0,d+e,closed_unresolved,0.2720707160472302,True,0.4,2.0,2.0,no_remedy,,,24.0,24.0,baseline,3
14:0,14,1,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.4003160121833245,True,0.5544366598634967,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,3
15:0,15,2,0,0,0.0,3.0,2.0,5.0,2.0,5.0,,6.0,closed_unresolved,closed_unresolved,,,0.0,d,closed_unresolved,0.23546897881317222,True,0.4,2.0,6.0,no_remedy,,,24.0,24.0,baseline,3
16:0,16,0,0,0,0.0,,2.0,,,,3.0,,successful,unused,3.0,d,1.0,d,resolved,0.8709829688334836,False,0.5455633401365033,3.0,,remedy_supported,3.0,3.0,3.0,3.0,baseline,3
17:0,17,1,0,0,0.0,4.0,3.0,6.0,3.0,6.0,,7.0,closed_unresolved,successful,7.0,e,1.0,d,resolved,0.5899672850883892,True,0.5544366598634967,3.0,7.0,no_remedy,,7.0,7.0,7.0,baseline,3
19:0,19,0,0,0,0.0,,3.0,,,,,,closed_unresolved,unused,,,0.0,d,closed_unresolved,0.33032967604527075,False,0.5455633401365033,3.0,,no_remedy,,,24.0,24.0,baseline,3
