time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,scenario,seed
17,2,2,2,2,0,0,27,3,0,24,3,3,0,0,0,0,0,7,31,34,1,0,implementation_zero_effect,5
18,0,0,0,0,0,0,27,2,0,25,2,2,0,0,0,0,0,7,31,34,3,0,implementation_zero_effect,5
19,0,0,0,0,1,1,27,2,0,25,1,0,1,1,0,1,0,7,31,34,3,0,implementation_zero_effect,5
20,0,0,0,0,1,1,27,2,0,25,0,0,0,0,0,2,0,7,31,34,2,1,implementation_zero_effect,5
21,0,0,0,0,1,1,27,2,0,25,0,0,0,0,0,2,0,7,31,34,0,2,implementation_zero_effect,5
22,0,0,0,0,0,0,27,1,0,26,0,0,0,0,0,1,0,7,31,34,0,3,implementation_zero_effect,5
23,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,0,7,31,34,0,2,implementation_zero_effect,5
24,1,1,1,1,0,0,28,1,0,27,1,1,0,0,0,0,0,7,31,35,0,1,implementation_zero_effect,5
0,21,21,21,20,3,0,21,21,0,0,20,20,0,0,0,3,0,0,21,21,0,0,implementation_zero_effect,6
1,0,0,0,0,0,0,21,21,0,0,20,20,0,0,0,3,0,0,21,21,20,3,implementation_zero_effect,6
2,0,0,0,0,0,0,21,14,0,7,13,8,5,5,0,2,0,0,21,21,20,3,implementation_zero_effect,6
3,0,0,0,0,4,4,19,6,0,13,2,0,2,2,0,4,2,2,21,21,20,3,implementation_zero_effect,6
4,0,0,0,0,3,3,19,7,0,12,0,0,0,0,0,7,0,2,21,21,2,4,implementation_zero_effect,6
5,0,0,0,0,1,1,19,7,0,12,0,0,0,0,0,7,0,2,21,21,0,7,implementation_zero_effect,6
6,0,0,0,0,0,0,16,4,0,12,0,0,0,0,0,4,3,5,21,21,0,8,implementation_zero_effect,6
7,0,0,0,0,0,0,14,1,0,13,0,0,0,0,0,1,2,7,21,21,0,4,implementation_zero_effect,6
8,1,1,1,1,0,0,14,1,0,13,1,1,0,0,0,0,1,8,22,22,0,1,implementation_zero_effect,6
9,0,0,0,0,0,0,14,1,0,13,1,1,0,0,0,0,0,8,22,22,1,0,implementation_zero_effect,6
10,0,0,0,0,0,0,14,1,0,13,1,0,1,1,0,0,0,8,22,22,1,0,implementation_zero_effect,6
11,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,8,22,22,1,0,implementation_zero_effect,6
12,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,8,22,22,0,0,implementation_zero_effect,6
13,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,8,22,22,0,0,implementation_zero_effect,6
14,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,8,22,22,0,0,implementation_zero_effect,6
15,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,8,22,22,0,0,implementation_zero_effect,6
16,1,1,1,1,0,0,15,1,0,14,1,1,0,0,0,0,0,8,23,23,0,0,implementation_zero_effect,6
17,0,0,0,0,0,0,15,1,0,14,1,1,0,0,0,0,0,8,23,23,1,0,implementation_zero_effect,6
18,1,1,1,1,0,0,16,1,0,15,1,1,0,0,0,0,0,8,23,24,1,0,implementation_zero_effect,6
19,1,1,1,1,0,0,17,2,0,15,2,2,0,0,0,0,0,8,24,25,2,0,implementation_zero_effect,6
20,0,0,0,0,0,0,17,2,0,15,2,1,1,1,0,0,0,8,24,25,2,0,implementation_zero_effect,6
21,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,8,24,25,2,0,implementation_zero_effect,6
22,0,0,0,0,2,2,17,2,0,15,0,0,0,0,0,2,0,8,24,25,1,0,implementation_zero_effect,6
23,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,2,0,8,24,25,0,2,implementation_zero_effect,6
24,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,2,0,8,24,25,0,2,implementation_zero_effect,6
0,24,24,24,22,3,0,24,24,0,0,22,22,0,0,0,3,0,0,24,24,0,0,implementation_zero_effect,7
1,1,1,1,1,0,0,25,25,0,0,23,23,0,0,0,3,0,0,25,25,22,3,implementation_zero_effect,7
