axis,level,mode,period,population,metric,mean,low,high,n
delay,0.0,full,early,both_reachable,material_at_review,0.015071103572247729,0.005263157894736839,0.026552060163330168,20
delay,0.0,full,early,both_reachable,standardized_no_material_score,0.24768195462792794,0.24111698714543273,0.25373478136446515,20
delay,0.0,full,early,both_reachable,mechanical_material_increment,0.0024334650480497553,0.0008567110668118572,0.004304585971693931,20
delay,0.0,full,early,both_reachable,mean_customer_merit,0.6053304606854214,0.5766503059389695,0.6311923969780292,20
delay,0.0,full,early,both_reachable,mean_customer_dependence,0.4990111041083279,0.4927414371669164,0.5052804541553801,20
delay,0.0,full,late,all,domestic_use,0.7826956411336357,0.7614503853153527,0.8038214181652719,20
delay,0.0,full,late,all,customer_use,0.49108639886619077,0.4438537018162411,0.5416533499716877,20
delay,0.0,full,late,all,first_d,0.6262533980176977,0.589476313009956,0.6604447901267438,20
delay,0.0,full,late,all,first_e,0.3151732816028312,0.2762929805260877,0.3554069884536237,20
delay,0.0,full,late,all,first_both,0.01140982079935567,0.004618424695459572,0.019338772903453098,20
delay,0.0,full,late,all,neither,0.04716349958011522,0.03434834995346008,0.059304014951371886,20
delay,0.0,full,late,all,d_to_e,0.16450329646400377,0.1344269705192383,0.19735389240804832,20
delay,0.0,full,late,all,e_to_d,0.14503242231658203,0.11767169354852952,0.17216577375772596,20
delay,0.0,full,late,all,both_use,0.32094553957994154,0.2812493410883406,0.36103458718439635,20
delay,0.0,full,late,all,resolved,0.44281551025088695,0.411571080119858,0.47459095220073605,20
delay,0.0,full,late,all,unresolved,0.5571844897491129,0.5254090477992639,0.5884289198801418,20
delay,0.0,full,late,all,customer_route_success,0.26732903805694175,0.22777798003510075,0.3094718361842225,20
delay,0.0,full,late,all,customer_only_resolution,0.26732903805694175,0.22777798003510075,0.3094718361842225,20
delay,0.0,full,late,all,joint_resolution,0.0,0.0,0.0,20
delay,0.0,full,late,all,customer_user_any_resolution,0.4023042162321849,0.36058445190686833,0.443474731781037,20
delay,0.0,full,late,all,customer_unresolved,0.5976957837678152,0.556525268218963,0.6394155480931317,20
delay,0.0,full,late,all,material_at_review,0.03458942364824717,0.017358522727272716,0.05367865418894828,20
delay,0.0,full,late,all,standardized_no_material_score,0.24674631479057937,0.24126498037100802,0.25242664164034384,20
delay,0.0,full,late,all,mechanical_material_increment,0.005412529668599305,0.00268981458618172,0.008441491174540596,20
delay,0.0,full,late,all,mean_customer_merit,0.6027961147017216,0.5770955195876882,0.6285775822885648,20
delay,0.0,full,late,all,mean_customer_dependence,0.4983929844531036,0.49024586286996935,0.5071623938502872,20
delay,0.0,full,late,both_reachable,domestic_use,0.7529564951557715,0.7236687710585737,0.781251942007305,20
delay,0.0,full,late,both_reachable,customer_use,0.6753970597741364,0.6423630106322507,0.7123592355880238,20
delay,0.0,full,late,both_reachable,first_d,0.5361694202519032,0.49521578766119656,0.5742692185561049,20
delay,0.0,full,late,both_reachable,first_e,0.43419441830487016,0.3901641593952108,0.47632358508970296,20
delay,0.0,full,late,both_reachable,first_both,0.01702065295815295,0.006190228174603174,0.02992116477272726,20
delay,0.0,full,late,both_reachable,neither,0.012615508485073696,0.0035897435897435854,0.024612659482224672,20
delay,0.0,full,late,both_reachable,d_to_e,0.22418198851111323,0.18986129493252044,0.26143728908740566,20
delay,0.0,full,late,both_reachable,e_to_d,0.1997664219457153,0.163171448655838,0.23357970915434217,20
delay,0.0,full,late,both_reachable,both_use,0.44096906341498165,0.4011893314705304,0.4800500087670151,20
delay,0.0,full,late,both_reachable,resolved,0.48585118377071695,0.4461609828529923,0.526098064240173,20
delay,0.0,full,late,both_reachable,unresolved,0.5141488162292831,0.47390193575982703,0.5538390171470076,20
delay,0.0,full,late,both_reachable,customer_route_success,0.26732903805694175,0.22777798003510075,0.3094718361842225,20
delay,0.0,full,late,both_reachable,customer_only_resolution,0.26732903805694175,0.22777798003510075,0.3094718361842225,20
delay,0.0,full,late,both_reachable,joint_resolution,0.0,0.0,0.0,20
delay,0.0,full,late,both_reachable,customer_user_any_resolution,0.4023042162321849,0.36058445190686833,0.443474731781037,20
delay,0.0,full,late,both_reachable,customer_unresolved,0.5976957837678152,0.556525268218963,0.6394155480931317,20
delay,0.0,full,late,both_reachable,material_at_review,0.03458942364824717,0.017358522727272716,0.05367865418894828,20
delay,0.0,full,late,both_reachable,standardized_no_material_score,0.24674631479057937,0.24126498037100802,0.25242664164034384,20
delay,0.0,full,late,both_reachable,mechanical_material_increment,0.005412529668599305,0.00268981458618172,0.008441491174540596,20
delay,0.0,full,late,both_reachable,mean_customer_merit,0.6027961147017216,0.5770955195876882,0.6285775822885648,20
delay,0.0,full,late,both_reachable,mean_customer_dependence,0.4983929844531036,0.49024586286996935,0.5071623938502872,20
delay,0.0,objective,early,all,domestic_use,0.7807114700044614,0.7489480750449677,0.8132411870435953,20
delay,0.0,objective,early,all,customer_use,0.5062675895812306,0.4716526193334835,0.544713354584727,20
delay,0.0,objective,early,all,first_d,0.5892471032878162,0.5555937655317175,0.6213515787590488,20
delay,0.0,objective,early,all,first_e,0.3513815219259483,0.3105790215516614,0.39484269887781537,20
delay,0.0,objective,early,all,first_both,0.00914887613976385,0.002821939586645465,0.01608908288251904,20
delay,0.0,objective,early,all,neither,0.05022249864647164,0.030300945909641046,0.07184284285622414,20
delay,0.0,objective,early,all,d_to_e,0.14573719151551842,0.1252336166322208,0.16620033645698085,20
delay,0.0,objective,early,all,e_to_d,0.1823154905768812,0.1584571344415022,0.20908558056988105,20
delay,0.0,objective,early,all,both_use,0.3372015582321636,0.30905648614456005,0.36904887453040464,20
delay,0.0,objective,early,all,resolved,0.41225657292389456,0.3800185287665549,0.4427826625204519,20
delay,0.0,objective,early,all,unresolved,0.5877434270761054,0.5572173374795482,0.6199814712334452,20
delay,0.0,objective,early,all,customer_route_success,0.2556170995458079,0.20743295597899428,0.3016816396561104,20
delay,0.0,objective,early,all,customer_only_resolution,0.2556170995458079,0.20743295597899428,0.3016816396561104,20
delay,0.0,objective,early,all,joint_resolution,0.0,0.0,0.0,20
delay,0.0,objective,early,all,customer_user_any_resolution,0.4042477151256933,0.3552847504961349,0.44810484241943727,20
delay,0.0,objective,early,all,customer_unresolved,0.5957522848743065,0.5518951575805627,0.6447152495038649,20
delay,0.0,objective,early,all,material_at_review,0.01289719052876947,0.0037878787878787854,0.024080404244877895,20
delay,0.0,objective,early,all,standardized_no_material_score,0.24764257329760353,0.24109932923977662,0.253628392153341,20
delay,0.0,objective,early,all,mechanical_material_increment,0.002133465048049755,0.0006138245692519099,0.004004591708429784,20
delay,0.0,objective,early,all,mean_customer_merit,0.6047942846607365,0.5765442051362389,0.6301338833447939,20
delay,0.0,objective,early,all,mean_customer_dependence,0.4992188874258006,0.4930122333579036,0.5053496252968174,20
delay,0.0,objective,early,both_reachable,domestic_use,0.7404875844322554,0.6982920509273384,0.7821043406860347,20
delay,0.0,objective,early,both_reachable,customer_use,0.7064501135080717,0.6751521830552641,0.7370803800616741,20
delay,0.0,objective,early,both_reachable,first_d,0.47683015698730824,0.43884686930812705,0.5169023283192246,20
delay,0.0,objective,early,both_reachable,first_e,0.48747446200481087,0.44281302393138083,0.5312113979131177,20
delay,0.0,objective,early,both_reachable,first_both,0.012283781033781022,0.004006410256410251,0.022578792735042704,20
delay,0.0,objective,early,both_reachable,neither,0.02341159997409996,0.007709668803418793,0.04405869593369591,20
delay,0.0,objective,early,both_reachable,d_to_e,0.2066918704694798,0.1760128837587696,0.2371951488849906,20
delay,0.0,objective,early,both_reachable,e_to_d,0.2513736464111663,0.22592127552857139,0.27890484673317534,20
