scenario,seed,time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,unique_submitted_cases,unique_domestic_cases,unique_customer_cases,multi_cases,customer_share_all_cases,customer_share_submitted,domestic_share_submitted,first_domestic_share,first_customer_share,first_both_share,no_submission_share,domestic_then_customer_share,mean_escalation_time,external_path_trigger_rate,external_user_case_resolution_rate,customer_intervention_rate,material_at_customer_review_share,external_user_mean_merit,external_user_mean_dependence,unresolved_fraction,submitted_unresolved_fraction,external_user_unresolved_fraction,mean_processing_time,median_processing_time,unresolved_case_rounds,pending_case_rounds
no_firm_response,3,44,0,0,0,0,0,0,84,84,0,0,84,36,0,0,84,84,84,36,84,84,59,59,0.7023809523809523,0.7023809523809523,1.0,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.6527777777777778,8.595744680851064,0.0,0.0,0.6101694915254238,0.5084745762711864,0.5987064577973618,0.4890152498696582,1.0,1.0,1.0,,,3780,3778
no_firm_response,4,44,0,0,0,0,0,0,82,82,0,0,82,28,0,0,82,82,82,28,82,82,41,41,0.5,0.5,1.0,0.8658536585365854,0.07317073170731707,0.06097560975609756,0.0,0.4225352112676056,10.433333333333334,0.0,0.0,0.6829268292682927,0.4146341463414634,0.6164527256891511,0.5037201732654453,1.0,1.0,1.0,,,3690,3687
no_firm_response,5,44,0,0,0,0,0,0,85,85,0,0,85,31,0,0,85,85,85,31,85,85,58,58,0.6823529411764706,0.6823529411764706,1.0,0.8352941176470589,0.09411764705882353,0.07058823529411765,0.0,0.6197183098591549,10.295454545454545,0.0,0.0,0.5344827586206896,0.46551724137931033,0.5811321416345052,0.48430335298214444,1.0,1.0,1.0,,,3825,3820
no_firm_response,6,44,0,0,0,0,0,0,86,86,0,0,86,40,0,0,86,86,86,40,86,86,60,60,0.6976744186046512,0.6976744186046512,1.0,0.8604651162790697,0.08139534883720931,0.05813953488372093,0.0,0.6486486486486487,8.3125,0.0,0.0,0.6666666666666666,0.5166666666666667,0.5985557542711718,0.5044489002996496,1.0,1.0,1.0,,,3870,3866
no_firm_response,7,44,0,0,0,0,0,0,84,84,0,0,84,25,0,0,84,84,84,25,84,84,45,45,0.5357142857142857,0.5357142857142857,1.0,0.8333333333333334,0.047619047619047616,0.11904761904761904,0.0,0.44285714285714284,7.129032258064516,0.0,0.0,0.5555555555555556,0.4444444444444444,0.6016236007200173,0.49622632564833496,1.0,1.0,1.0,,,3780,3777
no_firm_response,8,44,0,0,0,0,0,0,71,71,0,0,71,25,0,0,71,71,71,25,71,71,41,41,0.5774647887323944,0.5774647887323944,1.0,0.8591549295774648,0.014084507042253521,0.1267605633802817,0.0,0.5081967213114754,10.0,0.0,0.0,0.6097560975609756,0.5365853658536586,0.5818760111806621,0.5215238660428291,1.0,1.0,1.0,,,3195,3194
no_firm_response,9,44,0,0,0,0,0,0,64,64,0,0,64,25,0,0,64,64,64,25,64,64,45,45,0.703125,0.703125,1.0,0.875,0.0625,0.0625,0.0,0.6607142857142857,8.027027027027026,0.0,0.0,0.5555555555555556,0.6444444444444445,0.5730069451198154,0.46986391043322073,1.0,1.0,1.0,,,2880,2878
no_firm_response,10,44,0,0,0,0,0,0,77,77,0,0,77,23,0,0,77,77,77,23,77,77,37,37,0.4805194805194805,0.4805194805194805,1.0,0.8831168831168831,0.025974025974025976,0.09090909090909091,0.0,0.4117647058823529,11.392857142857142,0.0,0.0,0.6216216216216216,0.5675675675675675,0.6239289762311169,0.4732467593244808,1.0,1.0,1.0,,,3465,3464
no_firm_response,11,44,0,0,0,0,0,0,75,75,0,0,75,21,0,0,75,75,75,21,75,75,38,38,0.5066666666666667,0.5066666666666667,1.0,0.84,0.08,0.08,0.0,0.4126984126984127,7.884615384615385,0.0,0.0,0.5526315789473685,0.39473684210526316,0.6266679363113985,0.5318871402559084,1.0,1.0,1.0,,,3375,3372
no_firm_response,12,44,0,0,0,0,0,0,77,77,0,0,77,32,0,0,77,77,77,32,77,77,56,56,0.7272727272727273,0.7272727272727273,1.0,0.8311688311688312,0.09090909090909091,0.07792207792207792,0.0,0.671875,9.674418604651162,0.0,0.0,0.5714285714285714,0.375,0.5896208017773559,0.4947606682966513,1.0,1.0,1.0,,,3465,3463
