treatment,control,metric,mean_difference,sd_difference,n,se_difference
domestic_0.95_help_on,domestic_0.95_help_off,customer_intervention_rate,0.0714638124571142,0.05288640549852446,20,0.011825759778031934
domestic_0.95_help_on,domestic_0.95_help_off,material_at_customer_review_share,0.0012315270935960604,0.005507556594827073,20,0.0012315270935960602
domestic_0.95_help_on,domestic_0.95_help_off,external_user_mean_merit,-0.0001935886224203598,0.0016911488757716216,20,0.0003781523846297693
domestic_0.95_help_on,domestic_0.95_help_off,external_user_mean_dependence,0.00026404418431941467,0.0008127267299023156,20,0.00018173122151926886
domestic_0.95_help_on,domestic_0.95_help_off,unresolved_fraction,-0.010832373129131939,0.011481035644400034,20,0.002567237615297658
domestic_0.95_help_on,domestic_0.95_help_off,submitted_unresolved_fraction,-0.010832373129131939,0.011481035644400034,20,0.002567237615297658
domestic_0.95_help_on,domestic_0.95_help_off,external_user_unresolved_fraction,-0.02552793212501304,0.02573000793763773,20,0.005753404681016714
domestic_0.95_help_on,domestic_0.95_help_off,mean_processing_time,0.05236407159164593,0.060397497521437575,20,0.013505291012880947
domestic_0.95_help_on,domestic_0.95_help_off,median_processing_time,0.1,0.2615741818902985,20,0.05848976518656019
domestic_0.95_help_on,domestic_0.95_help_off,unresolved_case_rounds,-30.2,31.597135113304514,20,7.065334200759441
domestic_0.95_help_on,domestic_0.95_help_off,pending_case_rounds,2.05,1.9324105480761042,20,0.43210013459357943
new_on_prevention,new_on,time,0.0,0.0,20,0.0
new_on_prevention,new_on,new_disputes,-0.4,0.6805570473787206,20,0.15217718205053643
new_on_prevention,new_on,new_complaints,-0.4,0.6805570473787206,20,0.15217718205053643
new_on_prevention,new_on,new_complainants,-0.4,0.6805570473787206,20,0.15217718205053643
new_on_prevention,new_on,new_domestic,-0.45,0.7591546545162483,20,0.16975214129336988
new_on_prevention,new_on,new_customer,-0.45,0.6048053188292994,20,0.1352385806055747
new_on_prevention,new_on,new_additional_channel,-0.4,0.5982430416161189,20,0.13377121081198773
new_on_prevention,new_on,unresolved,-12.05,4.135532804723881,20,0.9247332474542961
new_on_prevention,new_on,pending,-2.15,2.084403234046921,20,0.4660867323849319
new_on_prevention,new_on,unsubmitted,0.0,0.0,20,0.0
new_on_prevention,new_on,closed_unresolved,-9.9,3.492849839314596,20,0.7810249675906654
new_on_prevention,new_on,pending_domestic,-1.3,1.688973528196155,20,0.37766596212442605
new_on_prevention,new_on,pending_customer,-1.0,0.9733285267845752,20,0.21764287503300347
new_on_prevention,new_on,new_resolved,-0.5,0.8271701918685112,20,0.18496087779795345
new_on_prevention,new_on,cumulative_resolved,-14.9,4.011824627536112,20,0.897071258097852
new_on_prevention,new_on,cumulative_complainants,-9.35,3.328900561351814,20,0.7443647945519865
new_on_prevention,new_on,total_cases,-26.95,5.548589199541012,20,1.2407022629394846
new_on_prevention,new_on,visible_domestic,-1.3,1.4903196407411894,20,0.33324560249003643
new_on_prevention,new_on,visible_customer,-1.35,1.3484884325167863,20,0.3015311801979672
new_on_prevention,new_on,unique_submitted_cases,-26.95,5.548589199541012,20,1.2407022629394846
new_on_prevention,new_on,unique_domestic_cases,-26.2,5.425087920703997,20,1.2130865374607125
new_on_prevention,new_on,unique_customer_cases,-13.55,4.718106221333881,20,1.0550006235967224
new_on_prevention,new_on,multi_cases,-12.8,4.33589667773576,20,0.9695359714832658
new_on_prevention,new_on,customer_share_all_cases,0.002230246866777111,0.021593181734119938,20,0.004828382220799897
new_on_prevention,new_on,customer_share_submitted,0.002230246866777111,0.021593181734119938,20,0.004828382220799897
new_on_prevention,new_on,domestic_share_submitted,0.0022721546252521653,0.009049494041886421,20,0.002023528383963737
new_on_prevention,new_on,first_domestic_share,-0.0006339808187926955,0.01382897421426041,20,0.0030922526402178017
new_on_prevention,new_on,first_customer_share,0.00029227280388511613,0.009452747742758161,20,0.0021136986526964943
new_on_prevention,new_on,first_both_share,0.0003417080149075772,0.013660537535557328,20,0.0030545890538693633
new_on_prevention,new_on,no_submission_share,0.0,0.0,20,0.0
new_on_prevention,new_on,domestic_then_customer_share,0.0026159039271430344,0.025943629319328275,20,0.005801171874107462
new_on_prevention,new_on,mean_escalation_time,0.2386981027944844,0.2381345833011084,20,0.053248511605486465
new_on_prevention,new_on,external_path_trigger_rate,-0.011238989415513973,0.037100146709329235,20,0.00829584500172753
new_on_prevention,new_on,external_user_case_resolution_rate,0.006592224063992588,0.03625419939344544,20,0.008106685431357563
new_on_prevention,new_on,customer_intervention_rate,-0.020399182991565352,0.033795816703874104,20,0.0075569743504985375
new_on_prevention,new_on,material_at_customer_review_share,-0.0018179501035978831,0.03069002239529035,20,0.006862497630686014
new_on_prevention,new_on,external_user_mean_merit,-0.006046403415993884,0.012826136630196291,20,0.0028680113393818986
new_on_prevention,new_on,external_user_mean_dependence,-0.0016670259512270775,0.0037856663534721513,20,0.0008465007306497477
