time,employee,initial_dispute,informed,prior_d,p_d,p_e,success_d,failure_d,has_dispute,case_id,first_unsubmitted
8,33,False,False,0.4348180534584407,0.4913362481125966,0.551886192488539,1.0,0.0,False,,False
8,34,False,False,0.31661037504879896,0.31661037504879896,0.27330955242992494,0.0,0.0,True,34:2,False
8,35,False,False,0.42861481296753934,0.3857533316707854,0.3427762288136687,0.0,1.0,False,,False
8,36,False,False,0.42525345030401457,0.4252534503040145,0.469476778933265,0.0,0.0,False,,False
8,37,True,False,0.5166398133866088,0.5166398133866088,0.514088135726928,0.0,0.0,True,37:0,False
8,38,False,False,0.38239161731187754,0.38239161731187754,0.2452507422676364,0.0,0.0,False,,False
8,39,True,False,0.28945770070522636,0.3210390455994424,0.46551331776541327,1.0,1.0,True,39:0,False
8,40,False,False,0.3641009921009626,0.4276908928908663,0.6484035964046133,1.0,0.0,True,40:7,False
8,41,False,False,0.357974726607252,0.4221772539465267,0.5833518541665612,1.0,0.0,False,,False
8,42,True,False,0.22466259977595562,0.20219633979836005,0.43924046267399164,0.0,1.0,True,42:0,False
8,43,False,False,0.5898592809140426,0.5898592809140426,0.2736964333143518,0.0,0.0,True,43:2,False
8,44,False,False,0.4668701026686099,0.4668701026686099,0.3745185335633857,0.0,0.0,False,,False
8,45,False,False,0.5427854347063236,0.536367619500375,0.4698376893113625,1.0,1.0,False,,False
8,46,False,False,0.3224714799644148,0.29022433196797326,0.6357028069846217,0.0,1.0,False,,False
8,47,False,False,0.3788126185859156,0.340931356727324,0.3802605378986358,0.0,1.0,False,,False
8,48,False,False,0.5651302970285246,0.5651302970285246,0.4055210131545029,0.0,0.0,True,48:6,False
8,49,True,False,0.40122202368757226,0.40122202368757226,0.6085239383184402,0.0,0.0,False,,False
8,50,False,False,0.2487471694008642,0.24874716940086417,0.3589564009886236,0.0,0.0,True,50:1,False
8,51,False,False,0.5616677653507353,0.5616677653507353,0.4952752451344002,0.0,0.0,False,,False
8,52,True,False,0.5475190938505968,0.5475190938505968,0.424566771177051,0.0,0.0,True,52:0,False
8,53,False,False,0.3196442006922833,0.3196442006922833,0.5821887454335208,0.0,0.0,False,,False
8,54,False,False,0.22049733782908745,0.2624227371547243,0.4970928211465043,1.0,1.0,False,,False
8,55,False,False,0.4070700265220594,0.40707002652205937,0.33948352925498304,0.0,0.0,False,,False
8,56,False,False,0.30574358589249045,0.3057435858924904,0.4105105517150809,0.0,0.0,False,,False
8,57,False,False,0.2774812585006399,0.2774812585006399,0.4532205763142648,0.0,0.0,True,57:5,False
8,58,True,False,0.4798457129212576,0.4798457129212576,0.4061195582818231,0.0,0.0,False,,False
8,59,True,False,0.5602922637422112,0.5602922637422112,0.5063737576874497,0.0,0.0,False,,False
8,60,False,False,0.4445134400782842,0.4445134400782842,0.6274568073919631,0.0,0.0,False,,False
8,61,True,False,0.264664180613867,0.33819776255248024,0.42786425934215844,1.0,0.0,True,61:0,False
8,62,True,False,0.5837425411252646,0.5837425411252646,0.62163411087903,0.0,0.0,False,,False
8,63,False,False,0.399457043574288,0.39945704357428796,0.539140287757221,0.0,0.0,False,,False
8,64,False,False,0.49125418099751017,0.5421287628977591,0.46342448598589314,1.0,0.0,True,64:7,False
8,65,False,False,0.2224459272708547,0.22244592727085466,0.5649872023170364,0.0,0.0,False,,False
8,66,False,False,0.32338302798712215,0.32338302798712215,0.3738782762323729,0.0,0.0,True,66:7,False
8,67,False,False,0.4878056956481709,0.4878056956481709,0.29830474926693445,0.0,0.0,False,,False
8,68,True,False,0.3456375652076465,0.3456375652076465,0.35402634462941646,0.0,0.0,False,,False
8,69,False,False,0.4622842267235775,0.4622842267235775,0.3907241381421482,0.0,0.0,False,,False
8,70,True,False,0.5850418326056266,0.5850418326056266,0.5437218501996302,0.0,0.0,True,70:0,False
8,71,False,False,0.4824433221045399,0.4824433221045399,0.5224597273152474,0.0,0.0,True,71:6,False
8,72,False,False,0.4361452748318083,0.4361452748318083,0.5348033408586919,0.0,0.0,False,,False
8,73,True,False,0.2642068249810523,0.2642068249810523,0.36825884895626715,0.0,0.0,False,,False
8,74,False,False,0.2167265134609432,0.21672651346094318,0.642211508643843,0.0,0.0,False,,False
8,75,False,False,0.2830941969831738,0.3547847772848564,0.4374199876305449,1.0,0.0,False,,False
8,76,True,False,0.32070918255416453,0.28863826429874806,0.32035163891623825,0.0,1.0,True,76:0,False
8,77,False,False,0.5657895980559209,0.5657895980559209,0.5099150606963985,0.0,0.0,False,,False
8,78,True,False,0.5249527470465616,0.5249527470465616,0.24376011193972158,0.0,0.0,False,,False
8,79,False,False,0.5154007144387884,0.5154007144387884,0.3386993507256493,0.0,0.0,False,,False
8,80,False,False,0.5773280412605488,0.5195952371344938,0.3605649533144454,0.0,1.0,False,,False
8,81,False,False,0.21770506728947497,0.21770506728947497,0.6278132971803017,0.0,0.0,False,,False
8,82,False,False,0.5886328395366878,0.629769555583019,0.3271695956585403,1.0,0.0,True,82:7,False
8,83,False,False,0.5592496307348407,0.5592496307348407,0.3248307718207073,0.0,0.0,True,83:5,False
8,84,False,False,0.2658079193732247,0.2658079193732247,0.33808719309527857,0.0,0.0,True,84:2,False
8,85,False,False,0.5753815322741997,0.6178433790467797,0.556425413119678,1.0,0.0,True,85:5,False
8,86,False,False,0.23821897963546426,0.23821897963546426,0.3937115856370863,0.0,0.0,False,,False
8,87,False,False,0.2672000736384307,0.2672000736384307,0.374077842981469,0.0,0.0,False,,False
8,88,False,False,0.5763316377708322,0.5763316377708322,0.5221793741561688,0.0,0.0,False,,False
8,89,True,False,0.5254086354683045,0.472867771921474,0.32308926941883376,0.0,1.0,True,89:0,False
8,90,False,False,0.4096088598221989,0.468647973839979,0.488918488410651,1.0,0.0,False,,False
8,91,True,False,0.26086857358249227,0.26086857358249227,0.40870608774136663,0.0,0.0,True,91:0,False
8,92,False,False,0.44368594112287196,0.44368594112287196,0.5217641296334619,0.0,0.0,False,,False
