time,customer,eligible,reviewed,eligible_left,nominal_capacity,oldest_eligible_age,seed,pooled,active_customers,arm
19,0,0,0,0,2,0,0,False,6,customer_only
19,1,0,0,0,2,0,0,False,6,customer_only
19,2,0,0,0,2,0,0,False,6,customer_only
19,3,0,0,0,2,0,0,False,6,customer_only
19,4,0,0,0,2,0,0,False,6,customer_only
19,5,0,0,0,2,0,0,False,6,customer_only
20,0,0,0,0,2,0,0,False,6,customer_only
20,1,0,0,0,2,0,0,False,6,customer_only
20,2,0,0,0,2,0,0,False,6,customer_only
20,3,0,0,0,2,0,0,False,6,customer_only
20,4,0,0,0,2,0,0,False,6,customer_only
20,5,0,0,0,2,0,0,False,6,customer_only
21,0,0,0,0,2,0,0,False,6,customer_only
21,1,0,0,0,2,0,0,False,6,customer_only
21,2,0,0,0,2,0,0,False,6,customer_only
21,3,0,0,0,2,0,0,False,6,customer_only
21,4,0,0,0,2,0,0,False,6,customer_only
21,5,0,0,0,2,0,0,False,6,customer_only
22,0,0,0,0,2,0,0,False,6,customer_only
22,1,0,0,0,2,0,0,False,6,customer_only
22,2,0,0,0,2,0,0,False,6,customer_only
22,3,0,0,0,2,0,0,False,6,customer_only
22,4,0,0,0,2,0,0,False,6,customer_only
22,5,0,0,0,2,0,0,False,6,customer_only
23,0,0,0,0,2,0,0,False,6,customer_only
23,1,0,0,0,2,0,0,False,6,customer_only
23,2,0,0,0,2,0,0,False,6,customer_only
23,3,0,0,0,2,0,0,False,6,customer_only
23,4,0,0,0,2,0,0,False,6,customer_only
23,5,0,0,0,2,0,0,False,6,customer_only
24,0,0,0,0,2,0,0,False,6,customer_only
24,1,0,0,0,2,0,0,False,6,customer_only
24,2,0,0,0,2,0,0,False,6,customer_only
24,3,0,0,0,2,0,0,False,6,customer_only
24,4,0,0,0,2,0,0,False,6,customer_only
24,5,0,0,0,2,0,0,False,6,customer_only
25,0,0,0,0,2,0,0,False,6,customer_only
25,1,0,0,0,2,0,0,False,6,customer_only
25,2,0,0,0,2,0,0,False,6,customer_only
25,3,0,0,0,2,0,0,False,6,customer_only
25,4,0,0,0,2,0,0,False,6,customer_only
25,5,0,0,0,2,0,0,False,6,customer_only
26,0,0,0,0,2,0,0,False,6,customer_only
26,1,0,0,0,2,0,0,False,6,customer_only
