axis,level,mode,period,population,metric,mean,low,high,n
delay,2.0,disabled,early,all,domestic_use,0.8673054587688733,0.8536585365853658,0.8809523809523809,2
delay,2.0,disabled,early,all,customer_use,0.5664924506387921,0.5476190476190477,0.5853658536585366,2
delay,2.0,disabled,early,all,first_d,0.6141114982578397,0.5853658536585366,0.6428571428571429,2
delay,2.0,disabled,early,all,first_e,0.3858885017421603,0.3571428571428571,0.4146341463414634,2
delay,2.0,disabled,early,all,first_both,0.0,0.0,0.0,2
delay,2.0,disabled,early,all,neither,0.0,0.0,0.0,2
delay,2.0,disabled,early,all,d_to_e,0.18060394889663176,0.1707317073170731,0.1904761904761904,2
delay,2.0,disabled,early,all,e_to_d,0.25319396051103366,0.238095238095238,0.2682926829268293,2
delay,2.0,disabled,early,all,both_use,0.43379790940766544,0.4285714285714285,0.4390243902439024,2
delay,2.0,disabled,early,all,resolved,0.40969802555168405,0.4047619047619047,0.4146341463414634,2
delay,2.0,disabled,early,all,unresolved,0.5903019744483159,0.5853658536585366,0.5952380952380952,2
delay,2.0,disabled,early,all,customer_route_success,0.1702898550724637,0.1666666666666666,0.1739130434782608,2
delay,2.0,disabled,early,all,customer_only_resolution,0.1702898550724637,0.1666666666666666,0.1739130434782608,2
delay,2.0,disabled,early,all,joint_resolution,0.0,0.0,0.0,2
delay,2.0,disabled,early,all,customer_user_any_resolution,0.3405797101449275,0.3333333333333333,0.3478260869565217,2
delay,2.0,disabled,early,all,customer_unresolved,0.6594202898550725,0.6521739130434783,0.6666666666666666,2
delay,2.0,disabled,early,all,material_at_review,0.0,0.0,0.0,2
delay,2.0,disabled,early,all,standardized_no_material_score,0.24766019854507085,0.2468910318593067,0.248429365230835,2
delay,2.0,disabled,early,all,mechanical_material_increment,0.0,0.0,0.0,2
delay,2.0,disabled,early,all,mean_customer_merit,0.5999811609557,0.5831257918358266,0.6168365300755734,2
delay,2.0,disabled,early,all,mean_customer_dependence,0.5000861433772941,0.490635701362795,0.5095365853917931,2
delay,2.0,disabled,early,both_reachable,domestic_use,0.8336397058823529,0.8235294117647058,0.84375,2
delay,2.0,disabled,early,both_reachable,customer_use,0.7123161764705883,0.7058823529411765,0.71875,2
delay,2.0,disabled,early,both_reachable,first_d,0.515625,0.5,0.53125,2
delay,2.0,disabled,early,both_reachable,first_e,0.484375,0.46875,0.5,2
delay,2.0,disabled,early,both_reachable,first_both,0.0,0.0,0.0,2
delay,2.0,disabled,early,both_reachable,neither,0.0,0.0,0.0,2
delay,2.0,disabled,early,both_reachable,d_to_e,0.2279411764705882,0.2058823529411764,0.25,2
delay,2.0,disabled,early,both_reachable,e_to_d,0.3180147058823529,0.3125,0.3235294117647059,2
delay,2.0,disabled,early,both_reachable,both_use,0.5459558823529411,0.5294117647058824,0.5625,2
delay,2.0,disabled,early,both_reachable,resolved,0.40900735294117646,0.40625,0.4117647058823529,2
delay,2.0,disabled,early,both_reachable,unresolved,0.5909926470588236,0.5882352941176471,0.59375,2
delay,2.0,disabled,early,both_reachable,customer_route_success,0.1702898550724637,0.1666666666666666,0.1739130434782608,2
delay,2.0,disabled,early,both_reachable,customer_only_resolution,0.1702898550724637,0.1666666666666666,0.1739130434782608,2
delay,2.0,disabled,early,both_reachable,joint_resolution,0.0,0.0,0.0,2
delay,2.0,disabled,early,both_reachable,customer_user_any_resolution,0.3405797101449275,0.3333333333333333,0.3478260869565217,2
delay,2.0,disabled,early,both_reachable,customer_unresolved,0.6594202898550725,0.6521739130434783,0.6666666666666666,2
delay,2.0,disabled,early,both_reachable,material_at_review,0.0,0.0,0.0,2
delay,2.0,disabled,early,both_reachable,standardized_no_material_score,0.24766019854507085,0.2468910318593067,0.248429365230835,2
delay,2.0,disabled,early,both_reachable,mechanical_material_increment,0.0,0.0,0.0,2
