time,new_disputes,new_complaints,new_complainants,new_domestic,new_customer,new_additional_channel,unresolved,pending,unsubmitted,closed_unresolved,pending_domestic,pending_domestic_institution,pending_domestic_implementation,new_domestic_supported,new_domestic_implemented,pending_customer,new_resolved,cumulative_resolved,cumulative_complainants,total_cases,visible_domestic,visible_customer,cumulative_domestic_share,cumulative_customer_share,new_d_to_e,new_e_to_d,scenario,seed
25,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
26,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
27,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
28,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
29,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
30,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
31,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
32,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
33,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
34,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
35,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
36,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
37,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
38,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
39,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
40,0,0,0,0,0,0,59,0,14,45,0,0,0,0,0,0,0,12,57,71,0,0,0.0,0.8028169014084507,0.0,0.0,customer_only,18
